county,precinct,office,district,party,candidate,in_person_votes,absentee_votes,total_votes
Wheeler,Bartlett,President/Vice President,,REP,Trump/Pence,214,57,271
Wheeler,Ericson,President/Vice President,,REP,Trump/Pence,90,16,106
Wheeler,Bartlett,President/Vice President,,DEM,Clinton/Kaine,16,20,36
Wheeler,Ericson,President/Vice President,,DEM,Clinton/Kaine,20,6,26
Wheeler,Bartlett,President/Vice President,,LIB,Johnson/Weld,10,3,13
Wheeler,Ericson,President/Vice President,,LIB,Johnson/Weld,4,0,4
Wheeler,Bartlett,President/Vice President,,PET,Stein/Baraka,2,2,4
Wheeler,Ericson,President/Vice President,,PET,Stein/Baraka,0,0,0
Wheeler,Bartlett,President/Vice President,,NON,Write-in,3,1,4
Wheeler,Ericson,President/Vice President,,NON,Write-in,1,0,1
Wheeler,Bartlett,U.S. House of Representatives,3,REP,Adrian Smith,225,67,292
Wheeler,Ericson,U.S. House of Representatives,3,REP,Adrian Smith,94,20,114
Wheeler,Bartlett,U.S. House of Representatives,3,NON,Write-in,2,0,2
Wheeler,Ericson,U.S. House of Representatives,3,NON,Write-in,1,0,1
Wheeler,Bartlett,Public Service Commissioner,,NON,Rod Johnson,190,51,241
Wheeler,Ericson,Public Service Commissioner,,NON,Rod Johnson,89,16,105
Wheeler,Bartlett,Public Service Commissioner,,NON,Write-in,0,0,0
Wheeler,Ericson,Public Service Commissioner,,NON,Write-in,0,0,0
Wheeler,Bartlett,County Commissioner,,NON,Jesse Plugge,110,39,149
Wheeler,Ericson,County Commissioner,,NON,Jesse Plugge,60,13,73
Wheeler,Bartlett,County Commissioner,,NON,Jim Hoerle,129,39,168
Wheeler,Ericson,County Commissioner,,NON,Jim Hoerle,53,7,60
Wheeler,Bartlett,County Commissioner,,NON,Write-in,0,0,0
Wheeler,Ericson,County Commissioner,,NON,Write-in,0,0,0
Wheeler,Bartlett,Legislature,41,NON,Tom Briese,181,55,236
Wheeler,Ericson,Legislature,41,NON,Tom Briese,75,17,92
Wheeler,Bartlett,Legislature,41,NON,Write-in,0,0,0
Wheeler,Ericson,Legislature,41,NON,Write-in,0,0,0
Wheeler,Bartlett,University of Nebraska Board of Regents,6,NON,Marsha E. Fangmeyer,55,18,73
Wheeler,Ericson,University of Nebraska Board of Regents,6,NON,Marsha E. Fangmeyer,19,3,22
Wheeler,Bartlett,University of Nebraska Board of Regents,6,NON,Paul Kenney,113,26,139
Wheeler,Ericson,University of Nebraska Board of Regents,6,NON,Paul Kenney,57,8,65
Wheeler,Bartlett,University of Nebraska Board of Regents,6,NON,Write-in,1,0,1
Wheeler,Ericson,University of Nebraska Board of Regents,6,NON,Write-in,0,0,0
Wheeler,Bartlett,Retain Chief Justice of the Supreme Court Michael Heavican,,NON,Yes,121,35,156
Wheeler,Ericson,Retain Chief Justice of the Supreme Court Michael Heavican,,NON,Yes,46,13,59
Wheeler,Bartlett,Retain Chief Justice of the Supreme Court Michael Heavican,,NON,No,55,10,65
Wheeler,Ericson,Retain Chief Justice of the Supreme Court Michael Heavican,,NON,No,35,3,38
Wheeler,Bartlett,Retain William B. Cassel,,NON,Yes,122,36,158
Wheeler,Ericson,Retain William B. Cassel,,NON,Yes,50,11,61
Wheeler,Bartlett,Retain William B. Cassel,,NON,No,49,8,57
Wheeler,Ericson,Retain William B. Cassel,,NON,No,29,2,31
Wheeler,Bartlett,Retain Francie Riedmann Weis,,NON,Yes,109,28,137
Wheeler,Ericson,Retain Francie Riedmann Weis,,NON,Yes,44,8,52
Wheeler,Bartlett,Retain Francie Riedmann Weis,,NON,No,55,9,64
Wheeler,Ericson,Retain Francie Riedmann Weis,,NON,No,33,5,38
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge Daniel R. Fridrich,,NON,Yes,114,30,144
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge Daniel R. Fridrich,,NON,Yes,42,11,53
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge Daniel R. Fridrich,,NON,No,48,11,59
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge Daniel R. Fridrich,,NON,No,34,2,36
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge John R. Hoffert,,NON,Yes,122,29,151
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge John R. Hoffert,,NON,Yes,46,10,56
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge John R. Hoffert,,NON,No,45,9,54
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge John R. Hoffert,,NON,No,27,1,28
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge James R. Coe,,NON,Yes,118,29,147
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge James R. Coe,,NON,Yes,45,10,55
Wheeler,Bartlett,Retain Nebraska Workers' Compensation Court Judge James R. Coe,,NON,No,46,9,55
Wheeler,Ericson,Retain Nebraska Workers' Compensation Court Judge James R. Coe,,NON,No,26,1,27
Wheeler,Bartlett,Retain Karin Noakes,,NON,Yes,113,30,143
Wheeler,Ericson,Retain Karin Noakes,,NON,Yes,45,9,54
Wheeler,Bartlett,Retain Karin Noakes,,NON,No,52,11,63
Wheeler,Ericson,Retain Karin Noakes,,NON,No,31,3,34
Wheeler,Bartlett,Retain Tami K. Schendt,,NON,Yes,115,28,143
Wheeler,Ericson,Retain Tami K. Schendt,,NON,Yes,47,8,55
Wheeler,Bartlett,Retain Tami K. Schendt,,NON,No,49,10,59
Wheeler,Ericson,Retain Tami K. Schendt,,NON,No,28,3,31
Wheeler,Bartlett,Northeast Community College Board,1,NON,Shirley J. Petsche,164,39,203
Wheeler,Ericson,Northeast Community College Board,1,NON,Shirley J. Petsche,72,11,83
Wheeler,Bartlett,Northeast Community College Board,1,NON,Write-in,1,0,1
