county,precinct,district,office,party,candidate,votes
Sarpy,,,President,REP,Donald J. Trump,45143
Sarpy,Precinct 1,,President,REP,Donald J. Trump,443
Sarpy,Precinct 2,,President,REP,Donald J. Trump,551
Sarpy,Precinct 3,,President,REP,Donald J. Trump,776
Sarpy,Precinct 4,,President,REP,Donald J. Trump,720
Sarpy,Precinct 5,,President,REP,Donald J. Trump,586
Sarpy,Precinct 6,,President,REP,Donald J. Trump,658
Sarpy,Precinct 7,,President,REP,Donald J. Trump,657
Sarpy,Precinct 8,,President,REP,Donald J. Trump,684
Sarpy,Precinct 9,,President,REP,Donald J. Trump,660
Sarpy,Precinct 10,,President,REP,Donald J. Trump,455
Sarpy,Precinct 11,,President,REP,Donald J. Trump,1000
Sarpy,Precinct 12,,President,REP,Donald J. Trump,947
Sarpy,Precinct 13,,President,REP,Donald J. Trump,921
Sarpy,Precinct 16,,President,REP,Donald J. Trump,765
Sarpy,Precinct 17,,President,REP,Donald J. Trump,768
Sarpy,Precinct 18,,President,REP,Donald J. Trump,544
Sarpy,Precinct 19,,President,REP,Donald J. Trump,1235
Sarpy,Precinct 20,,President,REP,Donald J. Trump,794
Sarpy,Precinct 21,,President,REP,Donald J. Trump,1211
Sarpy,Precinct 22,,President,REP,Donald J. Trump,716
Sarpy,Precinct 23,,President,REP,Donald J. Trump,1242
Sarpy,Precinct 24,,President,REP,Donald J. Trump,602
Sarpy,Precinct 25,,President,REP,Donald J. Trump,560
Sarpy,Precinct 26,,President,REP,Donald J. Trump,769
Sarpy,Precinct 31,,President,REP,Donald J. Trump,1397
Sarpy,Precinct 32,,President,REP,Donald J. Trump,631
Sarpy,Precinct 33,,President,REP,Donald J. Trump,682
Sarpy,Precinct 34,,President,REP,Donald J. Trump,806
Sarpy,Precinct 35,,President,REP,Donald J. Trump,774
Sarpy,Precinct 36,,President,REP,Donald J. Trump,912
Sarpy,Precinct 37,,President,REP,Donald J. Trump,1350
Sarpy,Precinct 38,,President,REP,Donald J. Trump,795
Sarpy,Precinct 39,,President,REP,Donald J. Trump,942
Sarpy,Precinct 40,,President,REP,Donald J. Trump,856
Sarpy,Precinct 41,,President,REP,Donald J. Trump,1077
Sarpy,Precinct 42,,President,REP,Donald J. Trump,887
Sarpy,Precinct 46,,President,REP,Donald J. Trump,803
Sarpy,Precinct 47,,President,REP,Donald J. Trump,490
Sarpy,Precinct 48,,President,REP,Donald J. Trump,1139
Sarpy,Precinct 49,,President,REP,Donald J. Trump,972
Sarpy,Precinct 51,,President,REP,Donald J. Trump,1413
Sarpy,Precinct 52,,President,REP,Donald J. Trump,1331
Sarpy,Precinct 53,,President,REP,Donald J. Trump,1001
Sarpy,Precinct 54,,President,REP,Donald J. Trump,971
Sarpy,Precinct 55,,President,REP,Donald J. Trump,1250
Sarpy,Precinct 56,,President,REP,Donald J. Trump,818
Sarpy,Precinct 57,,President,REP,Donald J. Trump,715
Sarpy,Precinct 58,,President,REP,Donald J. Trump,769
Sarpy,Precinct 59,,President,REP,Donald J. Trump,820
Sarpy,Precinct 60,,President,REP,Donald J. Trump,675
Sarpy,Precinct 61,,President,REP,Donald J. Trump,1817
Sarpy,Precinct 62,,President,REP,Donald J. Trump,783
Sarpy,New/Former Resident 1,,President,REP,Donald J. Trump,0
Sarpy,New/Former Resident 2,,President,REP,Donald J. Trump,3
Sarpy,,,President,DEM,Hillary Clinton,28033
Sarpy,Precinct 1,,President,DEM,Hillary Clinton,478
Sarpy,Precinct 2,,President,DEM,Hillary Clinton,337
Sarpy,Precinct 3,,President,DEM,Hillary Clinton,578
Sarpy,Precinct 4,,President,DEM,Hillary Clinton,470
Sarpy,Precinct 5,,President,DEM,Hillary Clinton,408
Sarpy,Precinct 6,,President,DEM,Hillary Clinton,529
Sarpy,Precinct 7,,President,DEM,Hillary Clinton,441
Sarpy,Precinct 8,,President,DEM,Hillary Clinton,411
Sarpy,Precinct 9,,President,DEM,Hillary Clinton,436
Sarpy,Precinct 10,,President,DEM,Hillary Clinton,310
Sarpy,Precinct 11,,President,DEM,Hillary Clinton,601
Sarpy,Precinct 12,,President,DEM,Hillary Clinton,462
Sarpy,Precinct 13,,President,DEM,Hillary Clinton,597
Sarpy,Precinct 16,,President,DEM,Hillary Clinton,609
Sarpy,Precinct 17,,President,DEM,Hillary Clinton,546
Sarpy,Precinct 18,,President,DEM,Hillary Clinton,505
Sarpy,Precinct 19,,President,DEM,Hillary Clinton,748
Sarpy,Precinct 20,,President,DEM,Hillary Clinton,664
Sarpy,Precinct 21,,President,DEM,Hillary Clinton,683
Sarpy,Precinct 22,,President,DEM,Hillary Clinton,536
Sarpy,Precinct 23,,President,DEM,Hillary Clinton,656
Sarpy,Precinct 24,,President,DEM,Hillary Clinton,316
Sarpy,Precinct 25,,President,DEM,Hillary Clinton,386
Sarpy,Precinct 26,,President,DEM,Hillary Clinton,440
Sarpy,Precinct 31,,President,DEM,Hillary Clinton,905
Sarpy,Precinct 32,,President,DEM,Hillary Clinton,453
Sarpy,Precinct 33,,President,DEM,Hillary Clinton,616
Sarpy,Precinct 34,,President,DEM,Hillary Clinton,650
Sarpy,Precinct 35,,President,DEM,Hillary Clinton,525
Sarpy,Precinct 36,,President,DEM,Hillary Clinton,463
Sarpy,Precinct 37,,President,DEM,Hillary Clinton,804
Sarpy,Precinct 38,,President,DEM,Hillary Clinton,542
Sarpy,Precinct 39,,President,DEM,Hillary Clinton,518
Sarpy,Precinct 40,,President,DEM,Hillary Clinton,474
Sarpy,Precinct 41,,President,DEM,Hillary Clinton,649
Sarpy,Precinct 42,,President,DEM,Hillary Clinton,545
Sarpy,Precinct 46,,President,DEM,Hillary Clinton,292
Sarpy,Precinct 47,,President,DEM,Hillary Clinton,217
Sarpy,Precinct 48,,President,DEM,Hillary Clinton,530
Sarpy,Precinct 49,,President,DEM,Hillary Clinton,630
Sarpy,Precinct 51,,President,DEM,Hillary Clinton,785
Sarpy,Precinct 52,,President,DEM,Hillary Clinton,797
Sarpy,Precinct 53,,President,DEM,Hillary Clinton,770
Sarpy,Precinct 54,,President,DEM,Hillary Clinton,699
Sarpy,Precinct 55,,President,DEM,Hillary Clinton,765
Sarpy,Precinct 56,,President,DEM,Hillary Clinton,530
Sarpy,Precinct 57,,President,DEM,Hillary Clinton,487
Sarpy,Precinct 58,,President,DEM,Hillary Clinton,280
Sarpy,Precinct 59,,President,DEM,Hillary Clinton,335
Sarpy,Precinct 60,,President,DEM,Hillary Clinton,356
Sarpy,Precinct 61,,President,DEM,Hillary Clinton,747
Sarpy,Precinct 62,,President,DEM,Hillary Clinton,520
Sarpy,New/Former Resident 1,,President,DEM,Hillary Clinton,1
Sarpy,New/Former Resident 2,,President,DEM,Hillary Clinton,1
Sarpy,,,President,LIB,Johnson/Weld,4682
Sarpy,Precinct 1,,President,LIB,Johnson/Weld,41
Sarpy,Precinct 2,,President,LIB,Johnson/Weld,65
Sarpy,Precinct 3,,President,LIB,Johnson/Weld,84
Sarpy,Precinct 4,,President,LIB,Johnson/Weld,93
Sarpy,Precinct 5,,President,LIB,Johnson/Weld,64
Sarpy,Precinct 6,,President,LIB,Johnson/Weld,93
Sarpy,Precinct 7,,President,LIB,Johnson/Weld,66
Sarpy,Precinct 8,,President,LIB,Johnson/Weld,56
Sarpy,Precinct 9,,President,LIB,Johnson/Weld,84
Sarpy,Precinct 10,,President,LIB,Johnson/Weld,82
Sarpy,Precinct 11,,President,LIB,Johnson/Weld,126
Sarpy,Precinct 12,,President,LIB,Johnson/Weld,97
Sarpy,Precinct 13,,President,LIB,Johnson/Weld,87
Sarpy,Precinct 16,,President,LIB,Johnson/Weld,79
Sarpy,Precinct 17,,President,LIB,Johnson/Weld,59
Sarpy,Precinct 18,,President,LIB,Johnson/Weld,78
Sarpy,Precinct 19,,President,LIB,Johnson/Weld,127
Sarpy,Precinct 20,,President,LIB,Johnson/Weld,74
Sarpy,Precinct 21,,President,LIB,Johnson/Weld,118
Sarpy,Precinct 22,,President,LIB,Johnson/Weld,113
Sarpy,Precinct 23,,President,LIB,Johnson/Weld,112
Sarpy,Precinct 24,,President,LIB,Johnson/Weld,78
Sarpy,Precinct 25,,President,LIB,Johnson/Weld,88
Sarpy,Precinct 26,,President,LIB,Johnson/Weld,106
Sarpy,Precinct 31,,President,LIB,Johnson/Weld,147
Sarpy,Precinct 32,,President,LIB,Johnson/Weld,74
Sarpy,Precinct 33,,President,LIB,Johnson/Weld,78
Sarpy,Precinct 34,,President,LIB,Johnson/Weld,107
Sarpy,Precinct 35,,President,LIB,Johnson/Weld,84
Sarpy,Precinct 36,,President,LIB,Johnson/Weld,55
Sarpy,Precinct 37,,President,LIB,Johnson/Weld,113
Sarpy,Precinct 38,,President,LIB,Johnson/Weld,89
Sarpy,Precinct 39,,President,LIB,Johnson/Weld,100
Sarpy,Precinct 40,,President,LIB,Johnson/Weld,94
Sarpy,Precinct 41,,President,LIB,Johnson/Weld,110
Sarpy,Precinct 42,,President,LIB,Johnson/Weld,103
Sarpy,Precinct 46,,President,LIB,Johnson/Weld,53
Sarpy,Precinct 47,,President,LIB,Johnson/Weld,57
Sarpy,Precinct 48,,President,LIB,Johnson/Weld,91
Sarpy,Precinct 49,,President,LIB,Johnson/Weld,123
Sarpy,Precinct 51,,President,LIB,Johnson/Weld,113
Sarpy,Precinct 52,,President,LIB,Johnson/Weld,115
Sarpy,Precinct 53,,President,LIB,Johnson/Weld,118
Sarpy,Precinct 54,,President,LIB,Johnson/Weld,105
Sarpy,Precinct 55,,President,LIB,Johnson/Weld,121
Sarpy,Precinct 56,,President,LIB,Johnson/Weld,69
Sarpy,Precinct 57,,President,LIB,Johnson/Weld,86
Sarpy,Precinct 58,,President,LIB,Johnson/Weld,42
Sarpy,Precinct 59,,President,LIB,Johnson/Weld,78
Sarpy,Precinct 60,,President,LIB,Johnson/Weld,72
Sarpy,Precinct 61,,President,LIB,Johnson/Weld,121
Sarpy,Precinct 62,,President,LIB,Johnson/Weld,94
Sarpy,New/Former Resident 1,,President,LIB,Johnson/Weld,0
Sarpy,New/Former Resident 2,,President,LIB,Johnson/Weld,0
Sarpy,,,President,PET,Jill Stein,836
Sarpy,Precinct 1,,President,PET,Jill Stein,23
Sarpy,Precinct 2,,President,PET,Jill Stein,15
Sarpy,Precinct 3,,President,PET,Jill Stein,23
Sarpy,Precinct 4,,President,PET,Jill Stein,13
Sarpy,Precinct 5,,President,PET,Jill Stein,12
Sarpy,Precinct 6,,President,PET,Jill Stein,25
Sarpy,Precinct 7,,President,PET,Jill Stein,13
Sarpy,Precinct 8,,President,PET,Jill Stein,7
Sarpy,Precinct 9,,President,PET,Jill Stein,18
Sarpy,Precinct 10,,President,PET,Jill Stein,21
Sarpy,Precinct 11,,President,PET,Jill Stein,15
Sarpy,Precinct 12,,President,PET,Jill Stein,14
Sarpy,Precinct 13,,President,PET,Jill Stein,22
Sarpy,Precinct 16,,President,PET,Jill Stein,25
Sarpy,Precinct 17,,President,PET,Jill Stein,27
Sarpy,Precinct 18,,President,PET,Jill Stein,10
Sarpy,Precinct 19,,President,PET,Jill Stein,24
Sarpy,Precinct 20,,President,PET,Jill Stein,15
Sarpy,Precinct 21,,President,PET,Jill Stein,15
Sarpy,Precinct 22,,President,PET,Jill Stein,17
Sarpy,Precinct 23,,President,PET,Jill Stein,13
Sarpy,Precinct 24,,President,PET,Jill Stein,10
Sarpy,Precinct 25,,President,PET,Jill Stein,16
Sarpy,Precinct 26,,President,PET,Jill Stein,11
Sarpy,Precinct 31,,President,PET,Jill Stein,20
Sarpy,Precinct 32,,President,PET,Jill Stein,14
Sarpy,Precinct 33,,President,PET,Jill Stein,17
Sarpy,Precinct 34,,President,PET,Jill Stein,25
Sarpy,Precinct 35,,President,PET,Jill Stein,18
Sarpy,Precinct 36,,President,PET,Jill Stein,9
Sarpy,Precinct 37,,President,PET,Jill Stein,17
Sarpy,Precinct 38,,President,PET,Jill Stein,19
Sarpy,Precinct 39,,President,PET,Jill Stein,18
Sarpy,Precinct 40,,President,PET,Jill Stein,16
Sarpy,Precinct 41,,President,PET,Jill Stein,17
Sarpy,Precinct 42,,President,PET,Jill Stein,14
Sarpy,Precinct 46,,President,PET,Jill Stein,6
Sarpy,Precinct 47,,President,PET,Jill Stein,12
Sarpy,Precinct 48,,President,PET,Jill Stein,15
Sarpy,Precinct 49,,President,PET,Jill Stein,22
Sarpy,Precinct 51,,President,PET,Jill Stein,11
Sarpy,Precinct 52,,President,PET,Jill Stein,18
Sarpy,Precinct 53,,President,PET,Jill Stein,16
Sarpy,Precinct 54,,President,PET,Jill Stein,13
Sarpy,Precinct 55,,President,PET,Jill Stein,13
Sarpy,Precinct 56,,President,PET,Jill Stein,19
Sarpy,Precinct 57,,President,PET,Jill Stein,14
Sarpy,Precinct 58,,President,PET,Jill Stein,8
Sarpy,Precinct 59,,President,PET,Jill Stein,13
Sarpy,Precinct 60,,President,PET,Jill Stein,13
Sarpy,Precinct 61,,President,PET,Jill Stein,19
Sarpy,Precinct 62,,President,PET,Jill Stein,16
Sarpy,New/Former Resident 1,,President,PET,Jill Stein,0
Sarpy,New/Former Resident 2,,President,PET,Jill Stein,0
Sarpy,,,President,,Write-ins,1886
Sarpy,Precinct 1,,President,,Write-ins,13
Sarpy,Precinct 2,,President,,Write-ins,12
Sarpy,Precinct 3,,President,,Write-ins,51
Sarpy,Precinct 4,,President,,Write-ins,17
Sarpy,Precinct 5,,President,,Write-ins,20
Sarpy,Precinct 6,,President,,Write-ins,32
Sarpy,Precinct 7,,President,,Write-ins,23
Sarpy,Precinct 8,,President,,Write-ins,38
Sarpy,Precinct 9,,President,,Write-ins,27
Sarpy,Precinct 10,,President,,Write-ins,17
Sarpy,Precinct 11,,President,,Write-ins,47
Sarpy,Precinct 12,,President,,Write-ins,40
Sarpy,Precinct 13,,President,,Write-ins,33
Sarpy,Precinct 16,,President,,Write-ins,29
Sarpy,Precinct 17,,President,,Write-ins,24
Sarpy,Precinct 18,,President,,Write-ins,21
Sarpy,Precinct 19,,President,,Write-ins,64
Sarpy,Precinct 20,,President,,Write-ins,42
Sarpy,Precinct 21,,President,,Write-ins,80
Sarpy,Precinct 22,,President,,Write-ins,44
Sarpy,Precinct 23,,President,,Write-ins,58
Sarpy,Precinct 24,,President,,Write-ins,17
Sarpy,Precinct 25,,President,,Write-ins,28
Sarpy,Precinct 26,,President,,Write-ins,36
Sarpy,Precinct 31,,President,,Write-ins,68
Sarpy,Precinct 32,,President,,Write-ins,30
