"county","precinct","district","office","party","candidate","votes"
"Furnas","Absentee/Early Vote",NA,"President","DEM","Hillary Clinton",0
"Furnas","Arapahoe",NA,"President","DEM","Hillary Clinton",67
"Furnas","Beaver City",NA,"President","DEM","Hillary Clinton",48
"Furnas","Cambridge",NA,"President","DEM","Hillary Clinton",96
"Furnas","Countywide",NA,"President","DEM","Hillary Clinton",0
"Furnas","Edison",NA,"President","DEM","Hillary Clinton",9
"Furnas","Hendley",NA,"President","DEM","Hillary Clinton",12
"Furnas","Holbrook",NA,"President","DEM","Hillary Clinton",16
"Furnas","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"Furnas","Oxford",NA,"President","DEM","Hillary Clinton",39
"Furnas","Wilsonville",NA,"President","DEM","Hillary Clinton",17
"Furnas","Absentee/Early Vote",NA,"President","LIB","Gary Johnson",0
"Furnas","Arapahoe",NA,"President","LIB","Gary Johnson",29
"Furnas","Beaver City",NA,"President","LIB","Gary Johnson",13
"Furnas","Cambridge",NA,"President","LIB","Gary Johnson",26
"Furnas","Countywide",NA,"President","LIB","Gary Johnson",0
"Furnas","Edison",NA,"President","LIB","Gary Johnson",1
"Furnas","Hendley",NA,"President","LIB","Gary Johnson",2
"Furnas","Holbrook",NA,"President","LIB","Gary Johnson",6
"Furnas","New/Former Resident",NA,"President","LIB","Gary Johnson",0
"Furnas","Oxford",NA,"President","LIB","Gary Johnson",7
"Furnas","Wilsonville",NA,"President","LIB","Gary Johnson",1
"Furnas","Absentee/Early Vote",NA,"President","","Jill Stein",0
"Furnas","Arapahoe",NA,"President","","Jill Stein",2
"Furnas","Beaver City",NA,"President","","Jill Stein",1
"Furnas","Cambridge",NA,"President","","Jill Stein",2
"Furnas","Countywide",NA,"President","","Jill Stein",0
"Furnas","Edison",NA,"President","","Jill Stein",0
"Furnas","Hendley",NA,"President","","Jill Stein",1
"Furnas","Holbrook",NA,"President","","Jill Stein",0
"Furnas","New/Former Resident",NA,"President","","Jill Stein",0
"Furnas","Oxford",NA,"President","","Jill Stein",3
"Furnas","Wilsonville",NA,"President","","Jill Stein",2
"Furnas","Absentee/Early Vote",NA,"President","REP","Donald J. Trump",0
"Furnas","Arapahoe",NA,"President","REP","Donald J. Trump",477
"Furnas","Beaver City",NA,"President","REP","Donald J. Trump",308
"Furnas","Cambridge",NA,"President","REP","Donald J. Trump",509
"Furnas","Countywide",NA,"President","REP","Donald J. Trump",0
"Furnas","Edison",NA,"President","REP","Donald J. Trump",97
"Furnas","Hendley",NA,"President","REP","Donald J. Trump",81
"Furnas","Holbrook",NA,"President","REP","Donald J. Trump",125
"Furnas","New/Former Resident",NA,"President","REP","Donald J. Trump",0
"Furnas","Oxford",NA,"President","REP","Donald J. Trump",252
"Furnas","Wilsonville",NA,"President","REP","Donald J. Trump",72
"Furnas","Absentee/Early Vote",3,"U.S. House","REP","Adrian Smith",0
"Furnas","Arapahoe",3,"U.S. House","REP","Adrian Smith",544
"Furnas","Beaver City",3,"U.S. House","REP","Adrian Smith",326
"Furnas","Cambridge",3,"U.S. House","REP","Adrian Smith",580
"Furnas","Countywide",3,"U.S. House","REP","Adrian Smith",0
"Furnas","Edison",3,"U.S. House","REP","Adrian Smith",100
"Furnas","Hendley",3,"U.S. House","REP","Adrian Smith",85
"Furnas","Holbrook",3,"U.S. House","REP","Adrian Smith",135
"Furnas","New/Former Resident",3,"U.S. House","REP","Adrian Smith",0
"Furnas","Oxford",3,"U.S. House","REP","Adrian Smith",268
"Furnas","Wilsonville",3,"U.S. House","REP","Adrian Smith",81
