"county","precinct","district","office","party","candidate","votes"
"Merrick","Absentee/Early Vote",NA,"President","DEM","Hillary Clinton",80
"Merrick","CENTRAL",NA,"President","DEM","Hillary Clinton",5
"Merrick","CHAPMAN",NA,"President","DEM","Hillary Clinton",27
"Merrick","CLARKSVILLE EAST",NA,"President","DEM","Hillary Clinton",25
"Merrick","CLARKSVILLE WEST",NA,"President","DEM","Hillary Clinton",14
"Merrick","Countywide",NA,"President","DEM","Hillary Clinton",0
"Merrick","LONE TREE NORTH",NA,"President","DEM","Hillary Clinton",29
"Merrick","LONE TREE SOUTH",NA,"President","DEM","Hillary Clinton",13
"Merrick","LOUP",NA,"President","DEM","Hillary Clinton",52
"Merrick","MEAD",NA,"President","DEM","Hillary Clinton",11
"Merrick","MIDLAND",NA,"President","DEM","Hillary Clinton",17
"Merrick","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"Merrick","PRAIRIE CREEK",NA,"President","DEM","Hillary Clinton",18
"Merrick","PRAIRIE ISLAND",NA,"President","DEM","Hillary Clinton",13
"Merrick","SILVER CREEK",NA,"President","DEM","Hillary Clinton",19
"Merrick","VIEREGG",NA,"President","DEM","Hillary Clinton",89
"Merrick","WARD 1",NA,"President","DEM","Hillary Clinton",101
"Merrick","WARD 2",NA,"President","DEM","Hillary Clinton",89
"Merrick","Absentee/Early Vote",NA,"President","LIB","Gary Johnson",18
"Merrick","CENTRAL",NA,"President","LIB","Gary Johnson",3
"Merrick","CHAPMAN",NA,"President","LIB","Gary Johnson",7
"Merrick","CLARKSVILLE EAST",NA,"President","LIB","Gary Johnson",5
"Merrick","CLARKSVILLE WEST",NA,"President","LIB","Gary Johnson",8
"Merrick","Countywide",NA,"President","LIB","Gary Johnson",0
"Merrick","LONE TREE NORTH",NA,"President","LIB","Gary Johnson",6
"Merrick","LONE TREE SOUTH",NA,"President","LIB","Gary Johnson",4
"Merrick","LOUP",NA,"President","LIB","Gary Johnson",16
"Merrick","MEAD",NA,"President","LIB","Gary Johnson",3
"Merrick","MIDLAND",NA,"President","LIB","Gary Johnson",5
