"county","precinct","district","office","party","candidate","votes"
"Hayes",1,NA,"President","REP","Donald J. Trump",167
"Hayes",1,NA,"President","DEM","Hillary Clinton",7
"Hayes",1,NA,"President","LIB","Gary Johnson",2
"Hayes",1,NA,"President","GRE","Jill Stein",0
"Hayes",1,NA,"President","","Write-ins",2
"Hayes",1,3,"U.S. House","REP","Adrian Smith",160
"Hayes",1,3,"U.S. House","","Write-ins",0
"Hayes",2,NA,"President","REP","Donald J. Trump",142
"Hayes",2,NA,"President","DEM","Hillary Clinton",18
"Hayes",2,NA,"President","LIB","Gary Johnson",4
"Hayes",2,NA,"President","GRE","Jill Stein",1
"Hayes",2,NA,"President","","Write-ins",0
"Hayes",2,3,"U.S. House","REP","Adrian Smith",144
"Hayes",2,3,"U.S. House","","Write-ins",2
"Hayes",3,NA,"President","REP","Donald J. Trump",163
"Hayes",3,NA,"President","DEM","Hillary Clinton",5
"Hayes",3,NA,"President","LIB","Gary Johnson",2
"Hayes",3,NA,"President","GRE","Jill Stein",0
"Hayes",3,NA,"President","","Write-ins",1
"Hayes",3,3,"U.S. House","REP","Adrian Smith",141
"Hayes",3,3,"U.S. House","","Write-ins",4
