"county","precinct","district","office","party","candidate","votes"
"Rock","Absentee/Early Vote",NA,"President","DEM","Hillary Clinton",23
"Rock","Countywide",NA,"President","DEM","Hillary Clinton",47
"Rock","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"Rock","Rock",NA,"President","DEM","Hillary Clinton",0
"Rock","Absentee/Early Vote",NA,"President","LIB","Gary Johnson",12
"Rock","Countywide",NA,"President","LIB","Gary Johnson",21
"Rock","New/Former Resident",NA,"President","LIB","Gary Johnson",0
"Rock","Rock",NA,"President","LIB","Gary Johnson",0
"Rock","Absentee/Early Vote",NA,"President","","Jill Stein",1
"Rock","Countywide",NA,"President","","Jill Stein",3
"Rock","New/Former Resident",NA,"President","","Jill Stein",0
"Rock","Rock",NA,"President","","Jill Stein",0
"Rock","Absentee/Early Vote",NA,"President","REP","Donald J. Trump",185
"Rock","Countywide",NA,"President","REP","Donald J. Trump",502
"Rock","New/Former Resident",NA,"President","REP","Donald J. Trump",0
"Rock","Rock",NA,"President","REP","Donald J. Trump",0
"Rock","Absentee/Early Vote",3,"U.S. House","REP","Adrian Smith",195
"Rock","Countywide",3,"U.S. House","REP","Adrian Smith",498
"Rock","New/Former Resident",3,"U.S. House","REP","Adrian Smith",0
"Rock","Rock",3,"U.S. House","REP","Adrian Smith",0
