"","county","precinct","district","office","party","candidate","votes"
"1","Adams","WEST BLUE/HIGHLAND",NA,"President","REP","Donald J. Trump",251
"2","Adams","VERONA",NA,"President","REP","Donald J. Trump",102
"3","Adams","KENESAW",NA,"President","REP","Donald J. Trump",450
"4","Adams","JUNIATA",NA,"President","REP","Donald J. Trump",327
"5","Adams","DENVER",NA,"President","REP","Donald J. Trump",413
"6","Adams","BLAINE",NA,"President","REP","Donald J. Trump",50
"7","Adams","PAULINE",NA,"President","REP","Donald J. Trump",114
"8","Adams","AYR",NA,"President","REP","Donald J. Trump",228
"9","Adams","ROSELAND",NA,"President","REP","Donald J. Trump",186
"10","Adams","HOLSTEIN",NA,"President","REP","Donald J. Trump",133
"11","Adams","1A",NA,"President","REP","Donald J. Trump",413
"12","Adams","1B",NA,"President","REP","Donald J. Trump",318
"13","Adams","1C",NA,"President","REP","Donald J. Trump",265
"14","Adams","2A",NA,"President","REP","Donald J. Trump",178
"15","Adams","2B",NA,"President","REP","Donald J. Trump",373
"16","Adams","2C",NA,"President","REP","Donald J. Trump",319
"17","Adams","2D",NA,"President","REP","Donald J. Trump",501
"18","Adams","2E",NA,"President","REP","Donald J. Trump",371
"19","Adams","3A",NA,"President","REP","Donald J. Trump",310
"20","Adams","3B",NA,"President","REP","Donald J. Trump",272
"21","Adams","3C",NA,"President","REP","Donald J. Trump",350
"22","Adams","3D",NA,"President","REP","Donald J. Trump",68
"23","Adams","3E",NA,"President","REP","Donald J. Trump",601
"24","Adams","4A",NA,"President","REP","Donald J. Trump",241
"25","Adams","4B",NA,"President","REP","Donald J. Trump",246
"26","Adams","4C",NA,"President","REP","Donald J. Trump",142
"27","Adams","4D",NA,"President","REP","Donald J. Trump",483
"28","Adams","4E",NA,"President","REP","Donald J. Trump",107
"29","Adams","EARLY VOTERS",NA,"President","REP","Donald J. Trump",1390
"30","Adams","PROVISIONAL",NA,"President","REP","Donald J. Trump",82
"31","Adams","TOTAL",NA,"President","REP","Donald J. Trump",9284
"32","Adams","WEST BLUE/HIGHLAND",NA,"President","DEM","Hillary Clinton",29
"33","Adams","VERONA",NA,"President","DEM","Hillary Clinton",15
"34","Adams","KENESAW",NA,"President","DEM","Hillary Clinton",47
"35","Adams","JUNIATA",NA,"President","DEM","Hillary Clinton",54
"36","Adams","DENVER",NA,"President","DEM","Hillary Clinton",78
"37","Adams","BLAINE",NA,"President","DEM","Hillary Clinton",3
"38","Adams","PAULINE",NA,"President","DEM","Hillary Clinton",18
"39","Adams","AYR",NA,"President","DEM","Hillary Clinton",32
"40","Adams","ROSELAND",NA,"President","DEM","Hillary Clinton",14
"41","Adams","HOLSTEIN",NA,"President","DEM","Hillary Clinton",19
"42","Adams","1A",NA,"President","DEM","Hillary Clinton",137
"43","Adams","1B",NA,"President","DEM","Hillary Clinton",111
"44","Adams","1C",NA,"President","DEM","Hillary Clinton",143
"45","Adams","2A",NA,"President","DEM","Hillary Clinton",41
"46","Adams","2B",NA,"President","DEM","Hillary Clinton",127
"47","Adams","2C",NA,"President","DEM","Hillary Clinton",107
"48","Adams","2D",NA,"President","DEM","Hillary Clinton",180
"49","Adams","2E",NA,"President","DEM","Hillary Clinton",128
"50","Adams","3A",NA,"President","DEM","Hillary Clinton",145
"51","Adams","3B",NA,"President","DEM","Hillary Clinton",161
"52","Adams","3C",NA,"President","DEM","Hillary Clinton",148
"53","Adams","3D",NA,"President","DEM","Hillary Clinton",32
"54","Adams","3E",NA,"President","DEM","Hillary Clinton",178
"55","Adams","4A",NA,"President","DEM","Hillary Clinton",139
"56","Adams","4B",NA,"President","DEM","Hillary Clinton",135
"57","Adams","4C",NA,"President","DEM","Hillary Clinton",86
"58","Adams","4D",NA,"President","DEM","Hillary Clinton",188
"59","Adams","4E",NA,"President","DEM","Hillary Clinton",26
"60","Adams","EARLY VOTERS",NA,"President","DEM","Hillary Clinton",751
"61","Adams","PROVISIONAL",NA,"President","DEM","Hillary Clinton",30
"62","Adams","TOTAL",NA,"President","DEM","Hillary Clinton",3302
"63","Adams","WEST BLUE/HIGHLAND",NA,"President","LIB","Gary Johnson",4
"64","Adams","VERONA",NA,"President","LIB","Gary Johnson",4
"65","Adams","KENESAW",NA,"President","LIB","Gary Johnson",20
"66","Adams","JUNIATA",NA,"President","LIB","Gary Johnson",15
"67","Adams","DENVER",NA,"President","LIB","Gary Johnson",20
"68","Adams","BLAINE",NA,"President","LIB","Gary Johnson",2
"69","Adams","PAULINE",NA,"President","LIB","Gary Johnson",9
"70","Adams","AYR",NA,"President","LIB","Gary Johnson",9
"71","Adams","ROSELAND",NA,"President","LIB","Gary Johnson",6
"72","Adams","HOLSTEIN",NA,"President","LIB","Gary Johnson",6
"73","Adams","1A",NA,"President","LIB","Gary Johnson",45
"74","Adams","1B",NA,"President","LIB","Gary Johnson",27
"75","Adams","1C",NA,"President","LIB","Gary Johnson",18
"76","Adams","2A",NA,"President","LIB","Gary Johnson",17
"77","Adams","2B",NA,"President","LIB","Gary Johnson",26
"78","Adams","2C",NA,"President","LIB","Gary Johnson",14
"79","Adams","2D",NA,"President","LIB","Gary Johnson",42
"80","Adams","2E",NA,"President","LIB","Gary Johnson",23
"81","Adams","3A",NA,"President","LIB","Gary Johnson",27
"82","Adams","3B",NA,"President","LIB","Gary Johnson",18
"83","Adams","3C",NA,"President","LIB","Gary Johnson",31
"84","Adams","3D",NA,"President","LIB","Gary Johnson",0
"85","Adams","3E",NA,"President","LIB","Gary Johnson",37
"86","Adams","4A",NA,"President","LIB","Gary Johnson",19
"87","Adams","4B",NA,"President","LIB","Gary Johnson",21
"88","Adams","4C",NA,"President","LIB","Gary Johnson",21
"89","Adams","4D",NA,"President","LIB","Gary Johnson",22
"90","Adams","4E",NA,"President","LIB","Gary Johnson",5
"91","Adams","EARLY VOTERS",NA,"President","LIB","Gary Johnson",77
"92","Adams","PROVISIONAL",NA,"President","LIB","Gary Johnson",9
"93","Adams","TOTAL",NA,"President","LIB","Gary Johnson",594
"94","Adams","WEST BLUE/HIGHLAND",NA,"President","","Jill Stein",0
"95","Adams","VERONA",NA,"President","","Jill Stein",0
"96","Adams","KENESAW",NA,"President","","Jill Stein",3
"97","Adams","JUNIATA",NA,"President","","Jill Stein",3
"98","Adams","DENVER",NA,"President","","Jill Stein",2
"99","Adams","BLAINE",NA,"President","","Jill Stein",1
"100","Adams","PAULINE",NA,"President","","Jill Stein",1
"101","Adams","AYR",NA,"President","","Jill Stein",0
"102","Adams","ROSELAND",NA,"President","","Jill Stein",1
"103","Adams","HOLSTEIN",NA,"President","","Jill Stein",1
"104","Adams","1A",NA,"President","","Jill Stein",11
"105","Adams","1B",NA,"President","","Jill Stein",13
"106","Adams","1C",NA,"President","","Jill Stein",1
"107","Adams","2A",NA,"President","","Jill Stein",0
"108","Adams","2B",NA,"President","","Jill Stein",2
"109","Adams","2C",NA,"President","","Jill Stein",4
"110","Adams","2D",NA,"President","","Jill Stein",6
"111","Adams","2E",NA,"President","","Jill Stein",7
"112","Adams","3A",NA,"President","","Jill Stein",9
"113","Adams","3B",NA,"President","","Jill Stein",2
"114","Adams","3C",NA,"President","","Jill Stein",12
"115","Adams","3D",NA,"President","","Jill Stein",0
"116","Adams","3E",NA,"President","","Jill Stein",3
"117","Adams","4A",NA,"President","","Jill Stein",2
"118","Adams","4B",NA,"President","","Jill Stein",6
"119","Adams","4C",NA,"President","","Jill Stein",3
"120","Adams","4D",NA,"President","","Jill Stein",6
"121","Adams","4E",NA,"President","","Jill Stein",0
"122","Adams","EARLY VOTERS",NA,"President","","Jill Stein",11
"123","Adams","PROVISIONAL",NA,"President","","Jill Stein",1
"124","Adams","TOTAL",NA,"President","","Jill Stein",111
"125","Adams","WEST BLUE/HIGHLAND",NA,"President","","Write-ins",5
"126","Adams","VERONA",NA,"President","","Write-ins",1
"127","Adams","KENESAW",NA,"President","","Write-ins",9
"128","Adams","JUNIATA",NA,"President","","Write-ins",7
"129","Adams","DENVER",NA,"President","","Write-ins",8
"130","Adams","BLAINE",NA,"President","","Write-ins",2
"131","Adams","PAULINE",NA,"President","","Write-ins",0
"132","Adams","AYR",NA,"President","","Write-ins",4
"133","Adams","ROSELAND",NA,"President","","Write-ins",3
"134","Adams","HOLSTEIN",NA,"President","","Write-ins",0
"135","Adams","1A",NA,"President","","Write-ins",8
"136","Adams","1B",NA,"President","","Write-ins",2
"137","Adams","1C",NA,"President","","Write-ins",3
"138","Adams","2A",NA,"President","","Write-ins",5
"139","Adams","2B",NA,"President","","Write-ins",8
"140","Adams","2C",NA,"President","","Write-ins",4
"141","Adams","2D",NA,"President","","Write-ins",6
"142","Adams","2E",NA,"President","","Write-ins",7
"143","Adams","3A",NA,"President","","Write-ins",9
"144","Adams","3B",NA,"President","","Write-ins",2
"145","Adams","3C",NA,"President","","Write-ins",12
"146","Adams","3D",NA,"President","","Write-ins",0
"147","Adams","3E",NA,"President","","Write-ins",3
"148","Adams","4A",NA,"President","","Write-ins",2
"149","Adams","4B",NA,"President","","Write-ins",6
"150","Adams","4C",NA,"President","","Write-ins",3
"151","Adams","4D",NA,"President","","Write-ins",6
"152","Adams","4E",NA,"President","","Write-ins",0
"153","Adams","EARLY VOTERS",NA,"President","","Write-ins",11
"154","Adams","PROVISIONAL",NA,"President","","Write-ins",1
"155","Adams","TOTAL",NA,"President","","Write-ins",137
"156","Adams","WEST BLUE/HIGHLAND",3,"U.S. House","REP","Adrian Smith",245
"157","Adams","VERONA",3,"U.S. House","REP","Adrian Smith",104
"158","Adams","KENESAW",3,"U.S. House","REP","Adrian Smith",463
"159","Adams","JUNIATA",3,"U.S. House","REP","Adrian Smith",338
"160","Adams","DENVER",3,"U.S. House","REP","Adrian Smith",438
"161","Adams","BLAINE",3,"U.S. House","REP","Adrian Smith",52
"162","Adams","PAULINE",3,"U.S. House","REP","Adrian Smith",115
"163","Adams","AYR",3,"U.S. House","REP","Adrian Smith",245
"164","Adams","ROSELAND",3,"U.S. House","REP","Adrian Smith",177
"165","Adams","HOLSTEIN",3,"U.S. House","REP","Adrian Smith",127
"166","Adams","1A",3,"U.S. House","REP","Adrian Smith",503
"167","Adams","1B",3,"U.S. House","REP","Adrian Smith",398
"168","Adams","1C",3,"U.S. House","REP","Adrian Smith",360
"169","Adams","2A",3,"U.S. House","REP","Adrian Smith",203
"170","Adams","2B",3,"U.S. House","REP","Adrian Smith",454
