"county","precinct","district","office","party","candidate","votes"
"Perkins","District 1",NA,"Registered Voters","","",623
"Perkins","District 1",NA,"Ballots Cast","","",469
"Perkins","District 1",NA,"President","REP","Donald J. Trump",392
"Perkins","District 1",NA,"President","DEM","Hillary Clinton",47
"Perkins","District 1",NA,"President","LIB","Gary Johnson",15
"Perkins","District 1",NA,"President","","Jill Stein",3
"Perkins","District 1",NA,"President","","Write-ins",2
"Perkins","District 1",3,"U.S. House","REP","Adrian Smith",408
"Perkins","District 1",3,"U.S. House","","Write-ins",8
"Perkins","District 2",NA,"Registered Voters","","",672
"Perkins","District 2",NA,"Ballots Cast","","",512
"Perkins","District 2",NA,"President","REP","Donald J. Trump",418
"Perkins","District 2",NA,"President","DEM","Hillary Clinton",61
"Perkins","District 2",NA,"President","LIB","Gary Johnson",18
"Perkins","District 2",NA,"President","","Jill Stein",0
"Perkins","District 2",NA,"President","","Write-ins",7
"Perkins","District 2",3,"U.S. House","REP","Adrian Smith",473
"Perkins","District 2",3,"U.S. House","","Write-ins",3
"Perkins","District 3",NA,"Registered Voters","","",705
"Perkins","District 3",NA,"Ballots Cast","","",501
"Perkins","District 3",NA,"President","REP","Donald J. Trump",406
"Perkins","District 3",NA,"President","DEM","Hillary Clinton",53
"Perkins","District 3",NA,"President","LIB","Gary Johnson",21
"Perkins","District 3",NA,"President","","Jill Stein",2
"Perkins","District 3",NA,"President","","Write-ins",9
"Perkins","District 3",3,"U.S. House","REP","Adrian Smith",451
"Perkins","District 3",3,"U.S. House","","Write-ins",1
"Perkins","New/Former Resident",NA,"President","REP","Donald J. Trump",1
