"county","precinct","district","office","party","candidate","votes"
"Gage","Adams Area",NA,"Registered Voters","","",1288
"Gage","Adams Area",NA,"Ballots Cast","","",969
"Gage","Adams Area",NA,"President","REP","Donald J. Trump",670
"Gage","Adams Area",NA,"President","DEM","Hillary Clinton",214
"Gage","Adams Area",NA,"President","LIB","Gary Johnson",43
"Gage","Adams Area",NA,"President","","Jill Stein",8
"Gage","Adams Area",NA,"President","","Write-ins",15
"Gage","Adams Area",3,"U.S. House","REP","Adrian Smith",754
"Gage","Adams Area",3,"U.S. House","","Write-ins",16
"Gage","Odell Area",NA,"Registered Voters","","",701
"Gage","Odell Area",NA,"Ballots Cast","","",529
"Gage","Odell Area",NA,"President","REP","Donald J. Trump",349
"Gage","Odell Area",NA,"President","DEM","Hillary Clinton",138
"Gage","Odell Area",NA,"President","LIB","Gary Johnson",23
"Gage","Odell Area",NA,"President","","Jill Stein",1
"Gage","Odell Area",NA,"President","","Write-ins",3
"Gage","Odell Area",3,"U.S. House","REP","Adrian Smith",410
"Gage","Odell Area",3,"U.S. House","","Write-ins",12
"Gage","Filley/Virginia Area",NA,"Registered Voters","","",723
"Gage","Filley/Virginia Area",NA,"Ballots Cast","","",562
"Gage","Filley/Virginia Area",NA,"President","REP","Donald J. Trump",385
"Gage","Filley/Virginia Area",NA,"President","DEM","Hillary Clinton",134
"Gage","Filley/Virginia Area",NA,"President","LIB","Gary Johnson",28
"Gage","Filley/Virginia Area",NA,"President","","Jill Stein",2
"Gage","Filley/Virginia Area",NA,"President","","Write-ins",5
"Gage","Filley/Virginia Area",3,"U.S. House","REP","Adrian Smith",449
"Gage","Filley/Virginia Area",3,"U.S. House","","Write-ins",8
"Gage","NW Quad Area",NA,"Registered Voters","","",1426
"Gage","NW Quad Area",NA,"Ballots Cast","","",1122
"Gage","NW Quad Area",NA,"President","REP","Donald J. Trump",725
"Gage","NW Quad Area",NA,"President","DEM","Hillary Clinton",298
"Gage","NW Quad Area",NA,"President","LIB","Gary Johnson",59
"Gage","NW Quad Area",NA,"President","","Jill Stein",9
"Gage","NW Quad Area",NA,"President","","Write-ins",16
"Gage","NW Quad Area",3,"U.S. House","REP","Adrian Smith",869
"Gage","NW Quad Area",3,"U.S. House","","Write-ins",20
"Gage","Homestead Area",NA,"Registered Voters","","",987
"Gage","Homestead Area",NA,"Ballots Cast","","",780
"Gage","Homestead Area",NA,"President","REP","Donald J. Trump",511
"Gage","Homestead Area",NA,"President","DEM","Hillary Clinton",200
"Gage","Homestead Area",NA,"President","LIB","Gary Johnson",36
"Gage","Homestead Area",NA,"President","","Jill Stein",8
"Gage","Homestead Area",NA,"President","","Write-ins",11
"Gage","Homestead Area",3,"U.S. House","REP","Adrian Smith",614
"Gage","Homestead Area",3,"U.S. House","","Write-ins",12
"Gage","Wymore Area",NA,"Registered Voters","","",1503
"Gage","Wymore Area",NA,"Ballots Cast","","",996
"Gage","Wymore Area",NA,"President","REP","Donald J. Trump",625
"Gage","Wymore Area",NA,"President","DEM","Hillary Clinton",282
"Gage","Wymore Area",NA,"President","LIB","Gary Johnson",41
"Gage","Wymore Area",NA,"President","","Jill Stein",12
"Gage","Wymore Area",NA,"President","","Write-ins",7
"Gage","Wymore Area",3,"U.S. House","REP","Adrian Smith",751
"Gage","Wymore Area",3,"U.S. House","","Write-ins",11
