"county","precinct","district","office","party","candidate","votes"
"Stanton","Butterfly",NA,"Registered Voters","","",93
"Stanton","Dewey",NA,"Registered Voters","","",137
"Stanton","Dimick",NA,"Registered Voters","","",68
"Stanton","Elkhorn",NA,"Registered Voters","","",176
"Stanton","Haymow",NA,"Registered Voters","","",96
"Stanton","Kingsburg",NA,"Registered Voters","","",66
"Stanton","Maple Creek",NA,"Registered Voters","","",98
"Stanton","Pilger",NA,"Registered Voters","","",335
"Stanton","Ramshorn",NA,"Registered Voters","","",111
"Stanton","Spring Branch",NA,"Registered Voters","","",1116
"Stanton","Spring Branch II",NA,"Registered Voters","","",293
"Stanton","Stanton A",NA,"Registered Voters","","",517
"Stanton","Stanton B",NA,"Registered Voters","","",594
"Stanton","Stanton C",NA,"Registered Voters","","",68
"Stanton","Union Creek",NA,"Registered Voters","","",74
"Stanton","Absentee",NA,"Registered Voters","","",NA
"Stanton","Provisional",NA,"Registered Voters","","",NA
"Stanton","Total",NA,"Registered Voters","","",3842
"Stanton","Butterfly",NA,"Ballots Cast","","",73
"Stanton","Dewey",NA,"Ballots Cast","","",109
"Stanton","Dimick",NA,"Ballots Cast","","",55
"Stanton","Elkhorn",NA,"Ballots Cast","","",147
"Stanton","Haymow",NA,"Ballots Cast","","",80
"Stanton","Kingsburg",NA,"Ballots Cast","","",53
"Stanton","Maple Creek",NA,"Ballots Cast","","",80
"Stanton","Pilger",NA,"Ballots Cast","","",262
"Stanton","Ramshorn",NA,"Ballots Cast","","",100
"Stanton","Spring Branch",NA,"Ballots Cast","","",670
"Stanton","Spring Branch II",NA,"Ballots Cast","","",172
"Stanton","Stanton A",NA,"Ballots Cast","","",299
"Stanton","Stanton B",NA,"Ballots Cast","","",347
"Stanton","Stanton C",NA,"Ballots Cast","","",43
"Stanton","Union Creek",NA,"Ballots Cast","","",68
"Stanton","Absentee",NA,"Ballots Cast","","",286
"Stanton","Provisional",NA,"Ballots Cast","","",14
"Stanton","Total",NA,"Ballots Cast","","",2858
"Stanton","Butterfly",NA,"President","REP","Donald J. Trump",54
"Stanton","Dewey",NA,"President","REP","Donald J. Trump",83
"Stanton","Dimick",NA,"President","REP","Donald J. Trump",46
"Stanton","Elkhorn",NA,"President","REP","Donald J. Trump",115
"Stanton","Haymow",NA,"President","REP","Donald J. Trump",66
"Stanton","Kingsburg",NA,"President","REP","Donald J. Trump",39
"Stanton","Maple Creek",NA,"President","REP","Donald J. Trump",58
"Stanton","Pilger",NA,"President","REP","Donald J. Trump",193
"Stanton","Ramshorn",NA,"President","REP","Donald J. Trump",90
"Stanton","Spring Branch",NA,"President","REP","Donald J. Trump",503
"Stanton","Spring Branch II",NA,"President","REP","Donald J. Trump",117
"Stanton","Stanton A",NA,"President","REP","Donald J. Trump",237
"Stanton","Stanton B",NA,"President","REP","Donald J. Trump",262
"Stanton","Stanton C",NA,"President","REP","Donald J. Trump",37
"Stanton","Union Creek",NA,"President","REP","Donald J. Trump",53
"Stanton","Absentee",NA,"President","REP","Donald J. Trump",220
"Stanton","Provisional",NA,"President","REP","Donald J. Trump",14
"Stanton","Total",NA,"President","REP","Donald J. Trump",2187
"Stanton","Butterfly",NA,"President","DEM","Hillary Clinton",14
"Stanton","Dewey",NA,"President","DEM","Hillary Clinton",15
"Stanton","Dimick",NA,"President","DEM","Hillary Clinton",6
"Stanton","Elkhorn",NA,"President","DEM","Hillary Clinton",21
"Stanton","Haymow",NA,"President","DEM","Hillary Clinton",9
"Stanton","Kingsburg",NA,"President","DEM","Hillary Clinton",7
"Stanton","Maple Creek",NA,"President","DEM","Hillary Clinton",15
"Stanton","Pilger",NA,"President","DEM","Hillary Clinton",33
"Stanton","Ramshorn",NA,"President","DEM","Hillary Clinton",7
"Stanton","Spring Branch",NA,"President","DEM","Hillary Clinton",104
"Stanton","Spring Branch II",NA,"President","DEM","Hillary Clinton",34
"Stanton","Stanton A",NA,"President","DEM","Hillary Clinton",45
"Stanton","Stanton B",NA,"President","DEM","Hillary Clinton",51
"Stanton","Stanton C",NA,"President","DEM","Hillary Clinton",2
"Stanton","Union Creek",NA,"President","DEM","Hillary Clinton",8
"Stanton","Absentee",NA,"President","DEM","Hillary Clinton",46
"Stanton","Provisional",NA,"President","DEM","Hillary Clinton",0
"Stanton","Total",NA,"President","DEM","Hillary Clinton",417
"Stanton","Butterfly",NA,"President","LIB","Gary Johnson",2
"Stanton","Dewey",NA,"President","LIB","Gary Johnson",7
"Stanton","Dimick",NA,"President","LIB","Gary Johnson",1
"Stanton","Elkhorn",NA,"President","LIB","Gary Johnson",10
"Stanton","Haymow",NA,"President","LIB","Gary Johnson",2
"Stanton","Kingsburg",NA,"President","LIB","Gary Johnson",7
"Stanton","Maple Creek",NA,"President","LIB","Gary Johnson",5
"Stanton","Pilger",NA,"President","LIB","Gary Johnson",21
"Stanton","Ramshorn",NA,"President","LIB","Gary Johnson",2
"Stanton","Spring Branch",NA,"President","LIB","Gary Johnson",34
"Stanton","Spring Branch II",NA,"President","LIB","Gary Johnson",14
"Stanton","Stanton A",NA,"President","LIB","Gary Johnson",9
"Stanton","Stanton B",NA,"President","LIB","Gary Johnson",15
"Stanton","Stanton C",NA,"President","LIB","Gary Johnson",1
"Stanton","Union Creek",NA,"President","LIB","Gary Johnson",5
"Stanton","Absentee",NA,"President","LIB","Gary Johnson",9
"Stanton","Provisional",NA,"President","LIB","Gary Johnson",0
"Stanton","Total",NA,"President","LIB","Gary Johnson",144
"Stanton","Butterfly",NA,"President","","Jill Stein",0
"Stanton","Dewey",NA,"President","","Jill Stein",0
"Stanton","Dimick",NA,"President","","Jill Stein",0
"Stanton","Elkhorn",NA,"President","","Jill Stein",0
"Stanton","Haymow",NA,"President","","Jill Stein",0
"Stanton","Kingsburg",NA,"President","","Jill Stein",0
"Stanton","Maple Creek",NA,"President","","Jill Stein",0
"Stanton","Pilger",NA,"President","","Jill Stein",3
"Stanton","Ramshorn",NA,"President","","Jill Stein",0
"Stanton","Spring Branch",NA,"President","","Jill Stein",7
"Stanton","Spring Branch II",NA,"President","","Jill Stein",2
"Stanton","Stanton A",NA,"President","","Jill Stein",1
"Stanton","Stanton B",NA,"President","","Jill Stein",1
"Stanton","Stanton C",NA,"President","","Jill Stein",0
"Stanton","Union Creek",NA,"President","","Jill Stein",0
"Stanton","Absentee",NA,"President","","Jill Stein",0
"Stanton","Provisional",NA,"President","","Jill Stein",0
"Stanton","Total",NA,"President","","Jill Stein",14
"Stanton","Butterfly",1,"U.S. House","REP","Jeff Fortenberry",58
"Stanton","Dewey",1,"U.S. House","REP","Jeff Fortenberry",90
"Stanton","Dimick",1,"U.S. House","REP","Jeff Fortenberry",49
"Stanton","Elkhorn",1,"U.S. House","REP","Jeff Fortenberry",113
"Stanton","Haymow",1,"U.S. House","REP","Jeff Fortenberry",66
"Stanton","Kingsburg",1,"U.S. House","REP","Jeff Fortenberry",43
"Stanton","Maple Creek",1,"U.S. House","REP","Jeff Fortenberry",70
"Stanton","Pilger",1,"U.S. House","REP","Jeff Fortenberry",210
"Stanton","Ramshorn",1,"U.S. House","REP","Jeff Fortenberry",87
"Stanton","Spring Branch",1,"U.S. House","REP","Jeff Fortenberry",537
"Stanton","Spring Branch II",1,"U.S. House","REP","Jeff Fortenberry",143
"Stanton","Stanton A",1,"U.S. House","REP","Jeff Fortenberry",253
"Stanton","Stanton B",1,"U.S. House","REP","Jeff Fortenberry",281
"Stanton","Stanton C",1,"U.S. House","REP","Jeff Fortenberry",41
"Stanton","Union Creek",1,"U.S. House","REP","Jeff Fortenberry",57
"Stanton","Absentee",1,"U.S. House","REP","Jeff Fortenberry",231
"Stanton","Provisional",1,"U.S. House","REP","Jeff Fortenberry",12
"Stanton","Total",1,"U.S. House","REP","Jeff Fortenberry",2341
"Stanton","Butterfly",1,"U.S. House","DEM","Daniel M. Wik",12
"Stanton","Dewey",1,"U.S. House","DEM","Daniel M. Wik",16
"Stanton","Dimick",1,"U.S. House","DEM","Daniel M. Wik",3
"Stanton","Elkhorn",1,"U.S. House","DEM","Daniel M. Wik",27
"Stanton","Haymow",1,"U.S. House","DEM","Daniel M. Wik",10
"Stanton","Kingsburg",1,"U.S. House","DEM","Daniel M. Wik",10
"Stanton","Maple Creek",1,"U.S. House","DEM","Daniel M. Wik",8
"Stanton","Pilger",1,"U.S. House","DEM","Daniel M. Wik",41
"Stanton","Ramshorn",1,"U.S. House","DEM","Daniel M. Wik",7
"Stanton","Spring Branch",1,"U.S. House","DEM","Daniel M. Wik",115
"Stanton","Spring Branch II",1,"U.S. House","DEM","Daniel M. Wik",22
"Stanton","Stanton A",1,"U.S. House","DEM","Daniel M. Wik",40
"Stanton","Stanton B",1,"U.S. House","DEM","Daniel M. Wik",60
"Stanton","Stanton C",1,"U.S. House","DEM","Daniel M. Wik",0
"Stanton","Union Creek",1,"U.S. House","DEM","Daniel M. Wik",10
"Stanton","Absentee",1,"U.S. House","DEM","Daniel M. Wik",43
"Stanton","Provisional",1,"U.S. House","DEM","Daniel M. Wik",2
"Stanton","Total",1,"U.S. House","DEM","Daniel M. Wik",426
"Stanton","Spring Branch",19,"State Legislature","","Jim Scheer",587
"Stanton","Spring Branch II",19,"State Legislature","","Jim Scheer",152
"Stanton","Absentee",19,"State Legislature","","Jim Scheer",120
