"","county","precinct","district","office","party","candidate","votes"
"1","Buffalo",1,NA,"Registered Voters","","",1260
"2","Buffalo",1,NA,"Ballots Cast","","",980
"3","Buffalo",1,NA,"President","REP","Donald J. Trump",675
"4","Buffalo",1,NA,"President","DEM","Hillary Clinton",217
"5","Buffalo",1,NA,"President","LIB","Gary Johnson",39
"6","Buffalo",1,NA,"President","","Jill Stein",9
"7","Buffalo",1,NA,"President","","Write-ins",24
"8","Buffalo",1,3,"U.S. House","REP","Adrian Smith",825
"9","Buffalo",1,3,"U.S. House","","Write-ins",19
"10","Buffalo",1,37,"State Legislature","","Bob Lammers",446
"11","Buffalo",1,37,"State Legislature","","John S. Lowe Sr.",466
"12","Buffalo",1,37,"State Legislature","","Write-ins",2
"13","Buffalo",2,NA,"Registered Voters","","",944
"14","Buffalo",2,NA,"Ballots Cast","","",716
"15","Buffalo",2,NA,"President","REP","Donald J. Trump",440
"16","Buffalo",2,NA,"President","DEM","Hillary Clinton",204
"17","Buffalo",2,NA,"President","LIB","Gary Johnson",40
"18","Buffalo",2,NA,"President","","Jill Stein",7
"19","Buffalo",2,NA,"President","","Write-ins",10
"20","Buffalo",2,3,"U.S. House","REP","Adrian Smith",589
"21","Buffalo",2,3,"U.S. House","","Write-ins",23
"22","Buffalo",2,37,"State Legislature","","Bob Lammers",332
"23","Buffalo",2,37,"State Legislature","","John S. Lowe Sr.",340
"24","Buffalo",2,37,"State Legislature","","Write-ins",1
"25","Buffalo",3,NA,"Registered Voters","","",1295
"26","Buffalo",3,NA,"Ballots Cast","","",1029
"27","Buffalo",3,NA,"President","REP","Donald J. Trump",664
"28","Buffalo",3,NA,"President","DEM","Hillary Clinton",259
"29","Buffalo",3,NA,"President","LIB","Gary Johnson",59
"30","Buffalo",3,NA,"President","","Jill Stein",8
"31","Buffalo",3,NA,"President","","Write-ins",24
"32","Buffalo",3,3,"U.S. House","REP","Adrian Smith",836
"33","Buffalo",3,3,"U.S. House","","Write-ins",29
"34","Buffalo",3,37,"State Legislature","","Bob Lammers",512
"35","Buffalo",3,37,"State Legislature","","John S. Lowe Sr.",463
"36","Buffalo",3,37,"State Legislature","","Write-ins",6
"37","Buffalo",4,NA,"Registered Voters","","",1677
"38","Buffalo",4,NA,"Ballots Cast","","",1365
"39","Buffalo",4,NA,"President","REP","Donald J. Trump",943
"40","Buffalo",4,NA,"President","DEM","Hillary Clinton",325
"41","Buffalo",4,NA,"President","LIB","Gary Johnson",46
"42","Buffalo",4,NA,"President","","Jill Stein",8
"43","Buffalo",4,NA,"President","","Write-ins",25
"44","Buffalo",4,3,"U.S. House","REP","Adrian Smith",1134
"45","Buffalo",4,3,"U.S. House","","Write-ins",19
"46","Buffalo",4,37,"State Legislature","","Bob Lammers",639
"47","Buffalo",4,37,"State Legislature","","John S. Lowe Sr.",639
"48","Buffalo",4,37,"State Legislature","","Write-ins",4
"49","Buffalo",5,NA,"Registered Voters","","",1052
"50","Buffalo",5,NA,"Ballots Cast","","",731
"51","Buffalo",5,NA,"President","REP","Donald J. Trump",461
"52","Buffalo",5,NA,"President","DEM","Hillary Clinton",196
