"county","precinct","district","office","party","candidate","votes"
"Hitchcock","Culbertson",NA,"President","REP","Donald J. Trump",433
"Hitchcock","Palisade",NA,"President","REP","Donald J. Trump",125
"Hitchcock","Stratton",NA,"President","REP","Donald J. Trump",252
"Hitchcock","Trenton",NA,"President","REP","Donald J. Trump",260
"Hitchcock","Early",NA,"President","REP","Donald J. Trump",162
"Hitchcock","Total",NA,"President","REP","Donald J. Trump",1232
"Hitchcock","Culbertson",NA,"President","DEM","Hillary Clinton",45
"Hitchcock","Palisade",NA,"President","DEM","Hillary Clinton",11
"Hitchcock","Stratton",NA,"President","DEM","Hillary Clinton",26
"Hitchcock","Trenton",NA,"President","DEM","Hillary Clinton",36
"Hitchcock","Early",NA,"President","DEM","Hillary Clinton",43
"Hitchcock","Total",NA,"President","DEM","Hillary Clinton",161
"Hitchcock","Culbertson",NA,"President","LIB","Gary Johnson",18
"Hitchcock","Palisade",NA,"President","LIB","Gary Johnson",10
"Hitchcock","Stratton",NA,"President","LIB","Gary Johnson",14
"Hitchcock","Trenton",NA,"President","LIB","Gary Johnson",9
"Hitchcock","Early",NA,"President","LIB","Gary Johnson",10
"Hitchcock","Total",NA,"President","LIB","Gary Johnson",61
"Hitchcock","Culbertson",NA,"President","","Jill Stein",2
"Hitchcock","Palisade",NA,"President","","Jill Stein",1
"Hitchcock","Stratton",NA,"President","","Jill Stein",0
"Hitchcock","Trenton",NA,"President","","Jill Stein",3
"Hitchcock","Early",NA,"President","","Jill Stein",1
"Hitchcock","Total",NA,"President","","Jill Stein",7
"Hitchcock","Culbertson",3,"U.S. House","REP","Adrian Smith",455
"Hitchcock","Palisade",3,"U.S. House","REP","Adrian Smith",131
"Hitchcock","Stratton",3,"U.S. House","REP","Adrian Smith",255
"Hitchcock","Trenton",3,"U.S. House","REP","Adrian Smith",278
"Hitchcock","Early",3,"U.S. House","REP","Adrian Smith",187
"Hitchcock","Total",3,"U.S. House","REP","Adrian Smith",1306
