"county","precinct","district","office","party","candidate","votes"
"Polk","Early",NA,"President","REP","Donald J. Trump",418
"Polk","South Canada",NA,"President","REP","Donald J. Trump",330
"Polk","North Osceola",NA,"President","REP","Donald J. Trump",156
"Polk","South Osceola",NA,"President","REP","Donald J. Trump",344
"Polk","East Burg",NA,"President","REP","Donald J. Trump",277
"Polk","West Burg",NA,"President","REP","Donald J. Trump",283
"Polk","West Pleasant Home",NA,"President","REP","Donald J. Trump",211
"Polk","Total",NA,"President","REP","Donald J. Trump",2019
"Polk","Early",NA,"President","DEM","Hillary Clinton",134
"Polk","South Canada",NA,"President","DEM","Hillary Clinton",54
"Polk","North Osceola",NA,"President","DEM","Hillary Clinton",23
"Polk","South Osceola",NA,"President","DEM","Hillary Clinton",75
"Polk","East Burg",NA,"President","DEM","Hillary Clinton",40
"Polk","West Burg",NA,"President","DEM","Hillary Clinton",43
"Polk","West Pleasant Home",NA,"President","DEM","Hillary Clinton",42
"Polk","Total",NA,"President","DEM","Hillary Clinton",411
"Polk","Early",NA,"President","LIB","Gary Johnson",23
"Polk","South Canada",NA,"President","LIB","Gary Johnson",18
"Polk","North Osceola",NA,"President","LIB","Gary Johnson",7
"Polk","South Osceola",NA,"President","LIB","Gary Johnson",18
"Polk","East Burg",NA,"President","LIB","Gary Johnson",10
"Polk","West Burg",NA,"President","LIB","Gary Johnson",12
"Polk","West Pleasant Home",NA,"President","LIB","Gary Johnson",14
"Polk","Total",NA,"President","LIB","Gary Johnson",102
"Polk","Early",NA,"President","","Jill Stein",2
"Polk","South Canada",NA,"President","","Jill Stein",3
"Polk","North Osceola",NA,"President","","Jill Stein",0
"Polk","South Osceola",NA,"President","","Jill Stein",0
"Polk","East Burg",NA,"President","","Jill Stein",0
"Polk","West Burg",NA,"President","","Jill Stein",0
"Polk","West Pleasant Home",NA,"President","","Jill Stein",1
"Polk","Total",NA,"President","","Jill Stein",6
"Polk","Early",1,"U.S. House","REP","Jeff Fortenberry",439
"Polk","South Canada",1,"U.S. House","REP","Jeff Fortenberry",342
"Polk","North Osceola",1,"U.S. House","REP","Jeff Fortenberry",164
"Polk","South Osceola",1,"U.S. House","REP","Jeff Fortenberry",360
"Polk","East Burg",1,"U.S. House","REP","Jeff Fortenberry",291
"Polk","West Burg",1,"U.S. House","REP","Jeff Fortenberry",304
"Polk","West Pleasant Home",1,"U.S. House","REP","Jeff Fortenberry",227
"Polk","Total",1,"U.S. House","REP","Jeff Fortenberry",2127
"Polk","Early",1,"U.S. House","DEM","Daniel M. Wik",111
"Polk","South Canada",1,"U.S. House","DEM","Daniel M. Wik",45
"Polk","North Osceola",1,"U.S. House","DEM","Daniel M. Wik",21
"Polk","South Osceola",1,"U.S. House","DEM","Daniel M. Wik",65
"Polk","East Burg",1,"U.S. House","DEM","Daniel M. Wik",33
"Polk","West Burg",1,"U.S. House","DEM","Daniel M. Wik",36
"Polk","West Pleasant Home",1,"U.S. House","DEM","Daniel M. Wik",37
"Polk","Total",1,"U.S. House","DEM","Daniel M. Wik",348
