"county","precinct","district","office","party","candidate","votes"
"Morrill","Broadwater",NA,"President","REP","Donald J. Trump",128
"Morrill","East Bayard",NA,"President","REP","Donald J. Trump",342
"Morrill","West Bayard",NA,"President","REP","Donald J. Trump",251
"Morrill","North Camp Clarke",NA,"President","REP","Donald J. Trump",184
"Morrill","East Camp Clarke",NA,"President","REP","Donald J. Trump",305
"Morrill","West Camp Clarke",NA,"President","REP","Donald J. Trump",244
"Morrill","Gilchrist",NA,"President","REP","Donald J. Trump",35
"Morrill","Haynes",NA,"President","REP","Donald J. Trump",63
"Morrill","Redington",NA,"President","REP","Donald J. Trump",43
"Morrill","Provisional",NA,"President","REP","Donald J. Trump",14
"Morrill","Absentee",NA,"President","REP","Donald J. Trump",193
"Morrill","Total",NA,"President","REP","Donald J. Trump",1802
"Morrill","Broadwater",NA,"President","LIB","Gary Johnson",8
"Morrill","East Bayard",NA,"President","LIB","Gary Johnson",13
"Morrill","West Bayard",NA,"President","LIB","Gary Johnson",12
"Morrill","North Camp Clarke",NA,"President","LIB","Gary Johnson",5
"Morrill","East Camp Clarke",NA,"President","LIB","Gary Johnson",14
"Morrill","West Camp Clarke",NA,"President","LIB","Gary Johnson",12
"Morrill","Gilchrist",NA,"President","LIB","Gary Johnson",0
"Morrill","Haynes",NA,"President","LIB","Gary Johnson",1
"Morrill","Redington",NA,"President","LIB","Gary Johnson",4
"Morrill","Provisional",NA,"President","LIB","Gary Johnson",2
"Morrill","Absentee",NA,"President","LIB","Gary Johnson",13
"Morrill","Total",NA,"President","LIB","Gary Johnson",84
"Morrill","Broadwater",NA,"President","DEM","Hillary Clinton",10
"Morrill","East Bayard",NA,"President","DEM","Hillary Clinton",46
"Morrill","West Bayard",NA,"President","DEM","Hillary Clinton",44
"Morrill","North Camp Clarke",NA,"President","DEM","Hillary Clinton",24
"Morrill","East Camp Clarke",NA,"President","DEM","Hillary Clinton",54
"Morrill","West Camp Clarke",NA,"President","DEM","Hillary Clinton",42
"Morrill","Gilchrist",NA,"President","DEM","Hillary Clinton",0
"Morrill","Haynes",NA,"President","DEM","Hillary Clinton",3
"Morrill","Redington",NA,"President","DEM","Hillary Clinton",11
"Morrill","Provisional",NA,"President","DEM","Hillary Clinton",2
"Morrill","Absentee",NA,"President","DEM","Hillary Clinton",48
"Morrill","Total",NA,"President","DEM","Hillary Clinton",284
"Morrill","Broadwater",NA,"President","GRE","Jill Stein",2
"Morrill","East Bayard",NA,"President","GRE","Jill Stein",3
"Morrill","West Bayard",NA,"President","GRE","Jill Stein",1
"Morrill","North Camp Clarke",NA,"President","GRE","Jill Stein",0
"Morrill","East Camp Clarke",NA,"President","GRE","Jill Stein",2
"Morrill","West Camp Clarke",NA,"President","GRE","Jill Stein",2
"Morrill","Gilchrist",NA,"President","GRE","Jill Stein",0
"Morrill","Haynes",NA,"President","GRE","Jill Stein",0
"Morrill","Redington",NA,"President","GRE","Jill Stein",0
"Morrill","Provisional",NA,"President","GRE","Jill Stein",0
"Morrill","Absentee",NA,"President","GRE","Jill Stein",4
"Morrill","Total",NA,"President","GRE","Jill Stein",14
"Morrill","Broadwater",NA,"President","","Write-ins",3
"Morrill","East Bayard",NA,"President","","Write-ins",3
"Morrill","West Bayard",NA,"President","","Write-ins",6
"Morrill","North Camp Clarke",NA,"President","","Write-ins",0
"Morrill","East Camp Clarke",NA,"President","","Write-ins",3
"Morrill","West Camp Clarke",NA,"President","","Write-ins",3
"Morrill","Gilchrist",NA,"President","","Write-ins",0
"Morrill","Haynes",NA,"President","","Write-ins",0
"Morrill","Redington",NA,"President","","Write-ins",0
"Morrill","Provisional",NA,"President","","Write-ins",2
"Morrill","Absentee",NA,"President","","Write-ins",7
"Morrill","Total",NA,"President","","Write-ins",27
"Morrill","Broadwater",47,"State Legislature","","Karl Elmschaeuer",50
"Morrill","East Bayard",47,"State Legislature","","Karl Elmschaeuer",161
"Morrill","West Bayard",47,"State Legislature","","Karl Elmschaeuer",116
"Morrill","North Camp Clarke",47,"State Legislature","","Karl Elmschaeuer",96
"Morrill","East Camp Clarke",47,"State Legislature","","Karl Elmschaeuer",146
"Morrill","West Camp Clarke",47,"State Legislature","","Karl Elmschaeuer",129
"Morrill","Gilchrist",47,"State Legislature","","Karl Elmschaeuer",7
"Morrill","Haynes",47,"State Legislature","","Karl Elmschaeuer",8
"Morrill","Redington",47,"State Legislature","","Karl Elmschaeuer",21
"Morrill","Provisional",47,"State Legislature","","Karl Elmschaeuer",8
"Morrill","Absentee",47,"State Legislature","","Karl Elmschaeuer",91
"Morrill","Total",47,"State Legislature","","Karl Elmschaeuer",833
"Morrill","Broadwater",47,"State Legislature","","Steve Erdman",101
"Morrill","East Bayard",47,"State Legislature","","Steve Erdman",243
"Morrill","West Bayard",47,"State Legislature","","Steve Erdman",189
"Morrill","North Camp Clarke",47,"State Legislature","","Steve Erdman",116
"Morrill","East Camp Clarke",47,"State Legislature","","Steve Erdman",211
"Morrill","West Camp Clarke",47,"State Legislature","","Steve Erdman",155
"Morrill","Gilchrist",47,"State Legislature","","Steve Erdman",26
"Morrill","Haynes",47,"State Legislature","","Steve Erdman",57
"Morrill","Redington",47,"State Legislature","","Steve Erdman",31
"Morrill","Provisional",47,"State Legislature","","Steve Erdman",10
"Morrill","Absentee",47,"State Legislature","","Steve Erdman",166
"Morrill","Total",47,"State Legislature","","Steve Erdman",1305
"Morrill","Broadwater",47,"State Legislature","","Write-ins",0
"Morrill","East Bayard",47,"State Legislature","","Write-ins",2
"Morrill","West Bayard",47,"State Legislature","","Write-ins",2
"Morrill","North Camp Clarke",47,"State Legislature","","Write-ins",1
"Morrill","East Camp Clarke",47,"State Legislature","","Write-ins",0
"Morrill","West Camp Clarke",47,"State Legislature","","Write-ins",0
"Morrill","Gilchrist",47,"State Legislature","","Write-ins",0
