"county","precinct","district","office","party","candidate","votes"
"Cherry","Barley",NA,"Registered Voters","","",0
"Cherry","Cleveland",NA,"Registered Voters","","",0
"Cherry","Cody",NA,"Registered Voters","","",0
"Cherry","Crookston",NA,"Registered Voters","","",0
"Cherry","Gillaspie",NA,"Registered Voters","","",0
"Cherry","Goose Creek",NA,"Registered Voters","","",0
"Cherry","Kennedy",NA,"Registered Voters","","",0
"Cherry","Kilgore",NA,"Registered Voters","","",0
"Cherry","King",NA,"Registered Voters","","",0
"Cherry","Lackey",NA,"Registered Voters","","",0
"Cherry","Loup",NA,"Registered Voters","","",0
"Cherry","Merriman",NA,"Registered Voters","","",0
"Cherry","Mother Lake",NA,"Registered Voters","","",0
"Cherry","Nenzel",NA,"Registered Voters","","",0
"Cherry","Russell",NA,"Registered Voters","","",0
"Cherry","Valentine East",NA,"Registered Voters","","",0
"Cherry","Valentine North",NA,"Registered Voters","","",0
"Cherry","Valentine South",NA,"Registered Voters","","",0
"Cherry","Wells",NA,"Registered Voters","","",0
"Cherry","Wood Lake",NA,"Registered Voters","","",0
"Cherry","Total",NA,"Registered Voters","","",0
"Cherry","Barley",NA,"Ballots Cast","","",44
"Cherry","Cleveland",NA,"Ballots Cast","","",86
"Cherry","Cody",NA,"Ballots Cast","","",217
"Cherry","Crookston",NA,"Ballots Cast","","",101
"Cherry","Gillaspie",NA,"Ballots Cast","","",28
"Cherry","Goose Creek",NA,"Ballots Cast","","",80
"Cherry","Kennedy",NA,"Ballots Cast","","",26
"Cherry","Kilgore",NA,"Ballots Cast","","",87
"Cherry","King",NA,"Ballots Cast","","",17
"Cherry","Lackey",NA,"Ballots Cast","","",71
"Cherry","Loup",NA,"Ballots Cast","","",129
"Cherry","Merriman",NA,"Ballots Cast","","",160
"Cherry","Mother Lake",NA,"Ballots Cast","","",44
"Cherry","Nenzel",NA,"Ballots Cast","","",37
"Cherry","Russell",NA,"Ballots Cast","","",31
"Cherry","Valentine East",NA,"Ballots Cast","","",624
"Cherry","Valentine North",NA,"Ballots Cast","","",670
"Cherry","Valentine South",NA,"Ballots Cast","","",496
"Cherry","Wells",NA,"Ballots Cast","","",97
"Cherry","Wood Lake",NA,"Ballots Cast","","",116
"Cherry","Total",NA,"Ballots Cast","","",3161
"Cherry","Barley",NA,"President","REP","Donald J. Trump",39
"Cherry","Cleveland",NA,"President","REP","Donald J. Trump",75
"Cherry","Cody",NA,"President","REP","Donald J. Trump",187
"Cherry","Crookston",NA,"President","REP","Donald J. Trump",89
"Cherry","Gillaspie",NA,"President","REP","Donald J. Trump",24
"Cherry","Goose Creek",NA,"President","REP","Donald J. Trump",74
"Cherry","Kennedy",NA,"President","REP","Donald J. Trump",23
"Cherry","Kilgore",NA,"President","REP","Donald J. Trump",74
"Cherry","King",NA,"President","REP","Donald J. Trump",17
"Cherry","Lackey",NA,"President","REP","Donald J. Trump",66
"Cherry","Loup",NA,"President","REP","Donald J. Trump",106
"Cherry","Merriman",NA,"President","REP","Donald J. Trump",136
"Cherry","Mother Lake",NA,"President","REP","Donald J. Trump",41
"Cherry","Nenzel",NA,"President","REP","Donald J. Trump",32
"Cherry","Russell",NA,"President","REP","Donald J. Trump",27
"Cherry","Valentine East",NA,"President","REP","Donald J. Trump",506
"Cherry","Valentine North",NA,"President","REP","Donald J. Trump",527
"Cherry","Valentine South",NA,"President","REP","Donald J. Trump",397
"Cherry","Wells",NA,"President","REP","Donald J. Trump",82
"Cherry","Wood Lake",NA,"President","REP","Donald J. Trump",101
"Cherry","Total",NA,"President","REP","Donald J. Trump",2623
"Cherry","Barley",NA,"President","DEM","Hillary Clinton",2
"Cherry","Cleveland",NA,"President","DEM","Hillary Clinton",5
"Cherry","Cody",NA,"President","DEM","Hillary Clinton",13
"Cherry","Crookston",NA,"President","DEM","Hillary Clinton",9
"Cherry","Gillaspie",NA,"President","DEM","Hillary Clinton",1
"Cherry","Goose Creek",NA,"President","DEM","Hillary Clinton",2
"Cherry","Kennedy",NA,"President","DEM","Hillary Clinton",0
"Cherry","Kilgore",NA,"President","DEM","Hillary Clinton",5
"Cherry","King",NA,"President","DEM","Hillary Clinton",0
"Cherry","Lackey",NA,"President","DEM","Hillary Clinton",2
"Cherry","Loup",NA,"President","DEM","Hillary Clinton",10
"Cherry","Merriman",NA,"President","DEM","Hillary Clinton",14
"Cherry","Mother Lake",NA,"President","DEM","Hillary Clinton",2
"Cherry","Nenzel",NA,"President","DEM","Hillary Clinton",3
"Cherry","Russell",NA,"President","DEM","Hillary Clinton",1
"Cherry","Valentine East",NA,"President","DEM","Hillary Clinton",81
"Cherry","Valentine North",NA,"President","DEM","Hillary Clinton",86
"Cherry","Valentine South",NA,"President","DEM","Hillary Clinton",60
"Cherry","Wells",NA,"President","DEM","Hillary Clinton",9
"Cherry","Wood Lake",NA,"President","DEM","Hillary Clinton",11
"Cherry","Total",NA,"President","DEM","Hillary Clinton",316
"Cherry","Barley",NA,"President","LIB","Johnson/Weld",0
"Cherry","Cleveland",NA,"President","LIB","Johnson/Weld",5
"Cherry","Cody",NA,"President","LIB","Johnson/Weld",6
"Cherry","Crookston",NA,"President","LIB","Johnson/Weld",2
"Cherry","Gillaspie",NA,"President","LIB","Johnson/Weld",0
"Cherry","Goose Creek",NA,"President","LIB","Johnson/Weld",3
"Cherry","Kennedy",NA,"President","LIB","Johnson/Weld",1
"Cherry","Kilgore",NA,"President","LIB","Johnson/Weld",6
"Cherry","King",NA,"President","LIB","Johnson/Weld",0
"Cherry","Lackey",NA,"President","LIB","Johnson/Weld",2
"Cherry","Loup",NA,"President","LIB","Johnson/Weld",7
"Cherry","Merriman",NA,"President","LIB","Johnson/Weld",3
"Cherry","Mother Lake",NA,"President","LIB","Johnson/Weld",0
"Cherry","Nenzel",NA,"President","LIB","Johnson/Weld",1
"Cherry","Russell",NA,"President","LIB","Johnson/Weld",1
"Cherry","Valentine East",NA,"President","LIB","Johnson/Weld",25
"Cherry","Valentine North",NA,"President","LIB","Johnson/Weld",34
"Cherry","Valentine South",NA,"President","LIB","Johnson/Weld",26
"Cherry","Wells",NA,"President","LIB","Johnson/Weld",3
"Cherry","Wood Lake",NA,"President","LIB","Johnson/Weld",2
"Cherry","Total",NA,"President","LIB","Johnson/Weld",127
"Cherry","Barley",NA,"President","PET","Jill Stein",0
"Cherry","Cleveland",NA,"President","PET","Jill Stein",0
"Cherry","Cody",NA,"President","PET","Jill Stein",3
"Cherry","Crookston",NA,"President","PET","Jill Stein",0
"Cherry","Gillaspie",NA,"President","PET","Jill Stein",0
"Cherry","Goose Creek",NA,"President","PET","Jill Stein",0
"Cherry","Kennedy",NA,"President","PET","Jill Stein",2
"Cherry","Kilgore",NA,"President","PET","Jill Stein",0
"Cherry","King",NA,"President","PET","Jill Stein",0
"Cherry","Lackey",NA,"President","PET","Jill Stein",0
"Cherry","Loup",NA,"President","PET","Jill Stein",0
"Cherry","Merriman",NA,"President","PET","Jill Stein",0
"Cherry","Mother Lake",NA,"President","PET","Jill Stein",0
"Cherry","Nenzel",NA,"President","PET","Jill Stein",0
"Cherry","Russell",NA,"President","PET","Jill Stein",0
"Cherry","Valentine East",NA,"President","PET","Jill Stein",2
"Cherry","Valentine North",NA,"President","PET","Jill Stein",7
"Cherry","Valentine South",NA,"President","PET","Jill Stein",1
"Cherry","Wells",NA,"President","PET","Jill Stein",0
"Cherry","Wood Lake",NA,"President","PET","Jill Stein",0
"Cherry","Total",NA,"President","PET","Jill Stein",15
"Cherry","Barley",NA,"President","","Write-ins",2
"Cherry","Cleveland",NA,"President","","Write-ins",1
"Cherry","Cody",NA,"President","","Write-ins",3
"Cherry","Crookston",NA,"President","","Write-ins",1
"Cherry","Gillaspie",NA,"President","","Write-ins",3
"Cherry","Goose Creek",NA,"President","","Write-ins",0
"Cherry","Kennedy",NA,"President","","Write-ins",0
"Cherry","Kilgore",NA,"President","","Write-ins",2
"Cherry","King",NA,"President","","Write-ins",0
"Cherry","Lackey",NA,"President","","Write-ins",1
"Cherry","Loup",NA,"President","","Write-ins",3
"Cherry","Merriman",NA,"President","","Write-ins",3
"Cherry","Mother Lake",NA,"President","","Write-ins",1
"Cherry","Nenzel",NA,"President","","Write-ins",0
"Cherry","Russell",NA,"President","","Write-ins",0
"Cherry","Valentine East",NA,"President","","Write-ins",7
"Cherry","Valentine North",NA,"President","","Write-ins",4
"Cherry","Valentine South",NA,"President","","Write-ins",5
"Cherry","Wells",NA,"President","","Write-ins",0
"Cherry","Wood Lake",NA,"President","","Write-ins",0
"Cherry","Total",NA,"President","","Write-ins",36
"Cherry","Barley",1,"U.S. House","REP","Adrian Smith",32
"Cherry","Cleveland",1,"U.S. House","REP","Adrian Smith",70
"Cherry","Cody",1,"U.S. House","REP","Adrian Smith",164
"Cherry","Crookston",1,"U.S. House","REP","Adrian Smith",88
