"county","precinct","district","office","party","candidate","votes"
"Custer","Mason City",NA,"President","REP","Donald J. Trump",165
"Custer","Arnold",NA,"President","REP","Donald J. Trump",358
"Custer","Broken Bow North",NA,"President","REP","Donald J. Trump",108
"Custer","Broken Bow North Rural",NA,"President","REP","Donald J. Trump",173
"Custer","Broken Bow South",NA,"President","REP","Donald J. Trump",395
"Custer","Broken Bow Southwest",NA,"President","REP","Donald J. Trump",176
"Custer","Berwyn",NA,"President","REP","Donald J. Trump",81
"Custer","Custer",NA,"President","REP","Donald J. Trump",39
"Custer","East Custer",NA,"President","REP","Donald J. Trump",21
"Custer","Cliff",NA,"President","REP","Donald J. Trump",65
"Custer","Comstock",NA,"President","REP","Donald J. Trump",50
"Custer","Douglas Grove",NA,"President","REP","Donald J. Trump",36
"Custer","Spring Creek",NA,"President","REP","Donald J. Trump",7
"Custer","Delight",NA,"President","REP","Donald J. Trump",310
"Custer","Elim",NA,"President","REP","Donald J. Trump",60
"Custer","Triumph",NA,"President","REP","Donald J. Trump",54
"Custer","Garfield",NA,"President","REP","Donald J. Trump",47
"Custer","Grant",NA,"President","REP","Donald J. Trump",17
"Custer","Kilfoil",NA,"President","REP","Donald J. Trump",260
"Custer","Loup",NA,"President","REP","Donald J. Trump",51
"Custer","Lillian/Milburn",NA,"President","REP","Donald J. Trump",74
"Custer","Corner/Sargent Rural",NA,"President","REP","Donald J. Trump",66
"Custer","West Union",NA,"President","REP","Donald J. Trump",26
"Custer","Sargent Village",NA,"President","REP","Donald J. Trump",172
"Custer","Ryno",NA,"President","REP","Donald J. Trump",43
"Custer","Anselmo",NA,"President","REP","Donald J. Trump",169
"Custer","Woodriver",NA,"President","REP","Donald J. Trump",121
"Custer","Wayne",NA,"President","REP","Donald J. Trump",49
"Custer","Broken Bow Northwest",NA,"President","REP","Donald J. Trump",334
"Custer","Broken Bow South Rural",NA,"President","REP","Donald J. Trump",158
"Custer","Absentee",NA,"President","REP","Donald J. Trump",708
"Custer","Total",NA,"President","REP","Donald J. Trump",4695
"Custer","Mason City",NA,"President","DEM","Hillary Clinton",19
"Custer","Arnold",NA,"President","DEM","Hillary Clinton",29
"Custer","Broken Bow North",NA,"President","DEM","Hillary Clinton",33
"Custer","Broken Bow North Rural",NA,"President","DEM","Hillary Clinton",9
"Custer","Broken Bow South",NA,"President","DEM","Hillary Clinton",69
"Custer","Broken Bow Southwest",NA,"President","DEM","Hillary Clinton",35
"Custer","Berwyn",NA,"President","DEM","Hillary Clinton",10
"Custer","Custer",NA,"President","DEM","Hillary Clinton",6
"Custer","East Custer",NA,"President","DEM","Hillary Clinton",0
"Custer","Cliff",NA,"President","DEM","Hillary Clinton",3
"Custer","Comstock",NA,"President","DEM","Hillary Clinton",14
"Custer","Douglas Grove",NA,"President","DEM","Hillary Clinton",5
"Custer","Spring Creek",NA,"President","DEM","Hillary Clinton",1
"Custer","Delight",NA,"President","DEM","Hillary Clinton",28
"Custer","Elim",NA,"President","DEM","Hillary Clinton",1
"Custer","Triumph",NA,"President","DEM","Hillary Clinton",0
"Custer","Garfield",NA,"President","DEM","Hillary Clinton",3
"Custer","Grant",NA,"President","DEM","Hillary Clinton",3
"Custer","Kilfoil",NA,"President","DEM","Hillary Clinton",20
"Custer","Loup",NA,"President","DEM","Hillary Clinton",2
