"county","precinct","district","office","party","candidate","votes"
"Burt","Arizona-Riverside",NA,"Registered Voters","","",288
"Burt","BellCreek-Oakland-Pershing",NA,"Registered Voters","","",374
"Burt","Craig",NA,"Registered Voters","","",353
"Burt","Decatur-Quinnebaugh",NA,"Registered Voters","","",531
"Burt","Everett-Logan",NA,"Registered Voters","","",284
"Burt","Lyons",NA,"Registered Voters","","",596
"Burt","Oakland I",NA,"Registered Voters","","",440
"Burt","Oakland II",NA,"Registered Voters","","",440
"Burt","Silvercreek-Summit",NA,"Registered Voters","","",396
"Burt","Tekamah I",NA,"Registered Voters","","",616
"Burt","Tekamah II",NA,"Registered Voters","","",618
"Burt","Total",NA,"Registered Voters","","",4936
"Burt","Absentee",NA,"Ballots Cast","","",566
"Burt","Arizona-Riverside",NA,"Ballots Cast","","",170
"Burt","BellCreek-Oakland-Pershing",NA,"Ballots Cast","","",246
"Burt","Craig",NA,"Ballots Cast","","",222
"Burt","Decatur-Quinnebaugh",NA,"Ballots Cast","","",334
"Burt","Everett-Logan",NA,"Ballots Cast","","",174
"Burt","Lyons",NA,"Ballots Cast","","",352
"Burt","Oakland I",NA,"Ballots Cast","","",296
"Burt","Oakland II",NA,"Ballots Cast","","",295
"Burt","Silvercreek-Summit",NA,"Ballots Cast","","",244
"Burt","Tekamah I",NA,"Ballots Cast","","",370
"Burt","Tekamah II",NA,"Ballots Cast","","",356
"Burt","Provisional",NA,"Ballots Cast","","",10
"Burt","Total",NA,"Ballots Cast","","",3635
"Burt","Absentee",NA,"President","REP","Donald J. Trump",315
"Burt","Arizona-Riverside",NA,"President","REP","Donald J. Trump",107
"Burt","BellCreek-Oakland-Pershing",NA,"President","REP","Donald J. Trump",198
"Burt","Craig",NA,"President","REP","Donald J. Trump",154
"Burt","Decatur-Quinnebaugh",NA,"President","REP","Donald J. Trump",184
"Burt","Everett-Logan",NA,"President","REP","Donald J. Trump",133
"Burt","Lyons",NA,"President","REP","Donald J. Trump",239
"Burt","Oakland I",NA,"President","REP","Donald J. Trump",209
"Burt","Oakland II",NA,"President","REP","Donald J. Trump",203
"Burt","Silvercreek-Summit",NA,"President","REP","Donald J. Trump",173
"Burt","Tekamah I",NA,"President","REP","Donald J. Trump",231
"Burt","Tekamah II",NA,"President","REP","Donald J. Trump",214
"Burt","Provisional",NA,"President","REP","Donald J. Trump",7
"Burt","Total",NA,"President","REP","Donald J. Trump",2367
"Burt","Absentee",NA,"President","DEM","Hillary Clinton",206
"Burt","Arizona-Riverside",NA,"President","DEM","Hillary Clinton",45
"Burt","BellCreek-Oakland-Pershing",NA,"President","DEM","Hillary Clinton",30
"Burt","Craig",NA,"President","DEM","Hillary Clinton",40
"Burt","Decatur-Quinnebaugh",NA,"President","DEM","Hillary Clinton",113
"Burt","Everett-Logan",NA,"President","DEM","Hillary Clinton",30
"Burt","Lyons",NA,"President","DEM","Hillary Clinton",86
"Burt","Oakland I",NA,"President","DEM","Hillary Clinton",66
"Burt","Oakland II",NA,"President","DEM","Hillary Clinton",54
"Burt","Silvercreek-Summit",NA,"President","DEM","Hillary Clinton",51
"Burt","Tekamah I",NA,"President","DEM","Hillary Clinton",108
"Burt","Tekamah II",NA,"President","DEM","Hillary Clinton",99
