"county","precinct","district","office","party","candidate","votes"
"Harlan","Republican City",NA,"Ballots Cast","","",232
"Harlan","Republican City",NA,"President","REP","Donald J. Trump",193
"Harlan","Republican City",NA,"President","DEM","Hillary Clinton",36
"Harlan","Republican City",NA,"President","LIB","Gary Johnson",2
"Harlan","Republican City",NA,"President","","Jill Stein",0
"Harlan","Republican City",NA,"President","","Write-ins",0
"Harlan","Republican City",3,"U.S. House","REP","Adrian Smith",192
"Harlan","Republican City",3,"U.S. House","","Write-ins",1
"Harlan","Huntley-Ragan",NA,"Ballots Cast","","",212
"Harlan","Huntley-Ragan",NA,"President","REP","Donald J. Trump",169
"Harlan","Huntley-Ragan",NA,"President","DEM","Hillary Clinton",32
"Harlan","Huntley-Ragan",NA,"President","LIB","Gary Johnson",5
"Harlan","Huntley-Ragan",NA,"President","","Jill Stein",0
"Harlan","Huntley-Ragan",NA,"President","","Write-ins",5
"Harlan","Huntley-Ragan",3,"U.S. House","REP","Adrian Smith",185
"Harlan","Huntley-Ragan",3,"U.S. House","","Write-ins",5
"Harlan","East Alma",NA,"Ballots Cast","","",207
"Harlan","East Alma",NA,"President","REP","Donald J. Trump",174
"Harlan","East Alma",NA,"President","DEM","Hillary Clinton",22
"Harlan","East Alma",NA,"President","LIB","Gary Johnson",7
"Harlan","East Alma",NA,"President","","Jill Stein",0
"Harlan","East Alma",NA,"President","","Write-ins",1
"Harlan","East Alma",3,"U.S. House","REP","Adrian Smith",182
"Harlan","East Alma",3,"U.S. House","","Write-ins",4
"Harlan","Central Alma",NA,"Ballots Cast","","",266
"Harlan","Central Alma",NA,"President","REP","Donald J. Trump",198
"Harlan","Central Alma",NA,"President","DEM","Hillary Clinton",43
"Harlan","Central Alma",NA,"President","LIB","Gary Johnson",17
"Harlan","Central Alma",NA,"President","","Jill Stein",3
"Harlan","Central Alma",NA,"President","","Write-ins",3
"Harlan","Central Alma",3,"U.S. House","REP","Adrian Smith",225
"Harlan","Central Alma",3,"U.S. House","","Write-ins",2
"Harlan","West Alma",NA,"Ballots Cast","","",248
"Harlan","West Alma",NA,"President","REP","Donald J. Trump",192
"Harlan","West Alma",NA,"President","DEM","Hillary Clinton",41
"Harlan","West Alma",NA,"President","LIB","Gary Johnson",6
"Harlan","West Alma",NA,"President","","Jill Stein",1
"Harlan","West Alma",NA,"President","","Write-ins",3
"Harlan","West Alma",3,"U.S. House","REP","Adrian Smith",225
"Harlan","West Alma",3,"U.S. House","","Write-ins",1
"Harlan","Orleans",NA,"Ballots Cast","","",285
"Harlan","Orleans",NA,"President","REP","Donald J. Trump",238
"Harlan","Orleans",NA,"President","DEM","Hillary Clinton",35
"Harlan","Orleans",NA,"President","LIB","Gary Johnson",6
"Harlan","Orleans",NA,"President","","Jill Stein",2
"Harlan","Orleans",NA,"President","","Write-ins",1
"Harlan","Orleans",3,"U.S. House","REP","Adrian Smith",250
"Harlan","Orleans",3,"U.S. House","","Write-ins",2
"Harlan","Stamford",NA,"Ballots Cast","","",164
"Harlan","Stamford",NA,"President","REP","Donald J. Trump",138
"Harlan","Stamford",NA,"President","DEM","Hillary Clinton",18
"Harlan","Stamford",NA,"President","LIB","Gary Johnson",3
"Harlan","Stamford",NA,"President","","Jill Stein",0
"Harlan","Stamford",NA,"President","","Write-ins",0
"Harlan","Stamford",3,"U.S. House","REP","Adrian Smith",152
"Harlan","Stamford",3,"U.S. House","","Write-ins",2
"Harlan","Oxford",NA,"Ballots Cast","","",224
"Harlan","Oxford",NA,"President","REP","Donald J. Trump",181
"Harlan","Oxford",NA,"President","DEM","Hillary Clinton",25
"Harlan","Oxford",NA,"President","LIB","Gary Johnson",14
"Harlan","Oxford",NA,"President","","Jill Stein",1
"Harlan","Oxford",NA,"President","","Write-ins",0
"Harlan","Oxford",3,"U.S. House","REP","Adrian Smith",187
"Harlan","Oxford",3,"U.S. House","","Write-ins",6
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
"","",NA,"","","",NA
