"county","precinct","district","office","party","candidate","votes"
"York","Absentee/Early Vote",NA,"President","DEM","Hillary Clinton",333
"York","Brown Hend",NA,"President","DEM","Hillary Clinton",105
"York","Countywide",NA,"President","DEM","Hillary Clinton",0
"York","Hays McFadden",NA,"President","DEM","Hillary Clinton",45
"York","LeRoy Baker",NA,"President","DEM","Hillary Clinton",35
"York","MABL",NA,"President","DEM","Hillary Clinton",63
"York","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"York","Ny Waco Beav WB",NA,"President","DEM","Hillary Clinton",65
"York","Stewart Thayer",NA,"President","DEM","Hillary Clinton",41
"York","Ward 1",NA,"President","DEM","Hillary Clinton",59
"York","Ward 2A",NA,"President","DEM","Hillary Clinton",78
"York","Ward 2B",NA,"President","DEM","Hillary Clinton",83
"York","Ward 3",NA,"President","DEM","Hillary Clinton",65
"York","Ward 4A",NA,"President","DEM","Hillary Clinton",109
"York","Ward 4B",NA,"President","DEM","Hillary Clinton",105
"York","Absentee/Early Vote",NA,"President","LIB","Gary Johnson",73
"York","Brown Hend",NA,"President","LIB","Gary Johnson",22
"York","Countywide",NA,"President","LIB","Gary Johnson",0
"York","Hays McFadden",NA,"President","LIB","Gary Johnson",21
"York","LeRoy Baker",NA,"President","LIB","Gary Johnson",9
"York","MABL",NA,"President","LIB","Gary Johnson",14
"York","New/Former Resident",NA,"President","LIB","Gary Johnson",0
"York","Ny Waco Beav WB",NA,"President","LIB","Gary Johnson",17
"York","Stewart Thayer",NA,"President","LIB","Gary Johnson",15
"York","Ward 1",NA,"President","LIB","Gary Johnson",26
"York","Ward 2A",NA,"President","LIB","Gary Johnson",25
"York","Ward 2B",NA,"President","LIB","Gary Johnson",40
"York","Ward 3",NA,"President","LIB","Gary Johnson",21
"York","Ward 4A",NA,"President","LIB","Gary Johnson",33
"York","Ward 4B",NA,"President","LIB","Gary Johnson",29
"York","Absentee/Early Vote",NA,"President","","Jill Stein",11
"York","Brown Hend",NA,"President","","Jill Stein",3
"York","Countywide",NA,"President","","Jill Stein",0
"York","Hays McFadden",NA,"President","","Jill Stein",0
"York","LeRoy Baker",NA,"President","","Jill Stein",4
"York","MABL",NA,"President","","Jill Stein",1
"York","New/Former Resident",NA,"President","","Jill Stein",0
"York","Ny Waco Beav WB",NA,"President","","Jill Stein",5
"York","Stewart Thayer",NA,"President","","Jill Stein",2
"York","Ward 1",NA,"President","","Jill Stein",0
"York","Ward 2A",NA,"President","","Jill Stein",6
"York","Ward 2B",NA,"President","","Jill Stein",0
"York","Ward 3",NA,"President","","Jill Stein",5
"York","Ward 4A",NA,"President","","Jill Stein",10
"York","Ward 4B",NA,"President","","Jill Stein",5
"York","Absentee/Early Vote",NA,"President","REP","Donald J. Trump",856
"York","Brown Hend",NA,"President","REP","Donald J. Trump",565
"York","Countywide",NA,"President","REP","Donald J. Trump",0
"York","Hays McFadden",NA,"President","REP","Donald J. Trump",294
"York","LeRoy Baker",NA,"President","REP","Donald J. Trump",171
"York","MABL",NA,"President","REP","Donald J. Trump",374
"York","New/Former Resident",NA,"President","REP","Donald J. Trump",0
"York","Ny Waco Beav WB",NA,"President","REP","Donald J. Trump",358
"York","Stewart Thayer",NA,"President","REP","Donald J. Trump",205
"York","Ward 1",NA,"President","REP","Donald J. Trump",289
"York","Ward 2A",NA,"President","REP","Donald J. Trump",288
"York","Ward 2B",NA,"President","REP","Donald J. Trump",282
"York","Ward 3",NA,"President","REP","Donald J. Trump",230
"York","Ward 4A",NA,"President","REP","Donald J. Trump",426
"York","Ward 4B",NA,"President","REP","Donald J. Trump",362
"York","Absentee/Early Vote",3,"U.S. House","REP","Adrian Smith",1048
"York","Brown Hend",3,"U.S. House","REP","Adrian Smith",630
"York","Countywide",3,"U.S. House","REP","Adrian Smith",0
"York","Hays McFadden",3,"U.S. House","REP","Adrian Smith",307
"York","LeRoy Baker",3,"U.S. House","REP","Adrian Smith",189
"York","MABL",3,"U.S. House","REP","Adrian Smith",411
"York","New/Former Resident",3,"U.S. House","REP","Adrian Smith",0
"York","Ny Waco Beav WB",3,"U.S. House","REP","Adrian Smith",410
"York","Stewart Thayer",3,"U.S. House","REP","Adrian Smith",235
"York","Ward 1",3,"U.S. House","REP","Adrian Smith",345
"York","Ward 2A",3,"U.S. House","REP","Adrian Smith",360
"York","Ward 2B",3,"U.S. House","REP","Adrian Smith",350
"York","Ward 3",3,"U.S. House","REP","Adrian Smith",289
"York","Ward 4A",3,"U.S. House","REP","Adrian Smith",519
"York","Ward 4B",3,"U.S. House","REP","Adrian Smith",451
