"county","precinct","district","office","party","candidate","votes"
"Arthur","Absentee",NA,"President","DEM","Hillary Clinton",0
"Arthur","Arthur",NA,"President","DEM","Hillary Clinton",17
"Arthur","Absentee",NA,"President","LIB","Gary Johnson",0
"Arthur","Arthur",NA,"President","LIB","Gary Johnson",11
"Arthur","Absentee",NA,"President","","Jill Stein",0
"Arthur","Arthur",NA,"President","","Jill Stein",0
"Arthur","Absentee",NA,"President","REP","Donald J. Trump",0
"Arthur","Arthur",NA,"President","REP","Donald J. Trump",244
"Arthur","Absentee",3,"U.S. House","REP","Adrian Smith",0
"Arthur","Arthur",3,"U.S. House","REP","Adrian Smith",254
"Arthur","Absentee",47,"State Legislature","","Karl Elmshaeuser",0
"Arthur","Arthur",47,"State Legislature","","Karl Elmshaeuser",98
"Arthur","Absentee",47,"State Legislature","","Steve Erdman",0
"Arthur","Arthur",47,"State Legislature","","Steve Erdman",156
