"county","precinct","district","office","party","candidate","votes"
"Jefferson","Plymouth-Gibson",NA,"Registered Voters","","",543
"Jefferson","Eureka-Washington",NA,"Registered Voters","","",266
"Jefferson","Lincoln-Meridian-Fairbury-Rich",NA,"Registered Voters","","",383
"Jefferson","Cub-Rock Creek",NA,"Registered Voters","","",272
"Jefferson","Jefferson-Pleasant-Newton",NA,"Registered Voters","","",573
"Jefferson","Buckley-Antelope-Endicott",NA,"Registered Voters","","",573
"Jefferson","Ward I",NA,"Registered Voters","","",587
"Jefferson","Ward II",NA,"Registered Voters","","",476
"Jefferson","Ward III",NA,"Registered Voters","","",662
"Jefferson","Ward IV",NA,"Registered Voters","","",676
"Jefferson","Total",NA,"Registered Voters","","",5011
"Jefferson","Plymouth-Gibson",NA,"Ballots Cast","","",376
"Jefferson","Eureka-Washington",NA,"Ballots Cast","","",182
"Jefferson","Lincoln-Meridian-Fairbury-Rich",NA,"Ballots Cast","","",271
"Jefferson","Cub-Rock Creek",NA,"Ballots Cast","","",185
"Jefferson","Jefferson-Pleasant-Newton",NA,"Ballots Cast","","",357
"Jefferson","Buckley-Antelope-Endicott",NA,"Ballots Cast","","",330
"Jefferson","Ward I",NA,"Ballots Cast","","",321
"Jefferson","Ward II",NA,"Ballots Cast","","",220
"Jefferson","Ward III",NA,"Ballots Cast","","",386
"Jefferson","Ward IV",NA,"Ballots Cast","","",359
"Jefferson","Absentee",NA,"Ballots Cast","","",560
"Jefferson","Total",NA,"Ballots Cast","","",3547
"Jefferson","Total",NA,"President","REP","Donald J. Trump",2387
"Jefferson","Absentee",NA,"President","REP","Donald J. Trump",342
"Jefferson","Plymouth-Gibson",NA,"President","REP","Donald J. Trump",256
"Jefferson","Eureka-Washington",NA,"President","REP","Donald J. Trump",131
"Jefferson","Lincoln-Meridian-Fairbury-Rich",NA,"President","REP","Donald J. Trump",201
"Jefferson","Cub-Rock Creek",NA,"President","REP","Donald J. Trump",143
"Jefferson","Jefferson-Pleasant-Newton",NA,"President","REP","Donald J. Trump",233
"Jefferson","Buckley-Antelope-Endicott",NA,"President","REP","Donald J. Trump",236
"Jefferson","Ward I",NA,"President","REP","Donald J. Trump",205
"Jefferson","Ward II",NA,"President","REP","Donald J. Trump",145
"Jefferson","Ward III",NA,"President","REP","Donald J. Trump",269
"Jefferson","Ward IV",NA,"President","REP","Donald J. Trump",226
"Jefferson","Total",NA,"President","DEM","Hillary Clinton",831
"Jefferson","Absentee",NA,"President","DEM","Hillary Clinton",167
"Jefferson","Plymouth-Gibson",NA,"President","DEM","Hillary Clinton",74
"Jefferson","Eureka-Washington",NA,"President","DEM","Hillary Clinton",30
"Jefferson","Lincoln-Meridian-Fairbury-Rich",NA,"President","DEM","Hillary Clinton",47
"Jefferson","Cub-Rock Creek",NA,"President","DEM","Hillary Clinton",27
"Jefferson","Jefferson-Pleasant-Newton",NA,"President","DEM","Hillary Clinton",107
"Jefferson","Buckley-Antelope-Endicott",NA,"President","DEM","Hillary Clinton",64
"Jefferson","Ward I",NA,"President","DEM","Hillary Clinton",89
