county,precinct,office,district,party,candidate,votes,legdist
Adams,0001,Secretary of State,3,DEM,Janet Stewart,26,SW
Adams,0001,State Treasurer,3,REP,Don Stenberg,146,SW
Adams,0001,Governor,3,REP,"Dave Heineman, Governor",145,SW
Adams,0001,Representative,3,ZZZ,Dan Hill,38,FED
Adams,0001,Representative,3,DEM,Rebekah Davis,16,FED
Adams,0001,Representative,3,REP,Adrian Smith,115,FED
Adams,0001,Governor,3,DEM,"Mike Meister, Governor",25,SW
Adams,0001,Auditor,3,REP,Mike Foley,139,SW
Adams,0001,State Treasurer,3,DEM,Mark Stoj,19,SW
Adams,0001,Auditor,3,LIB,Michele Sallach-Grace,17,SW
Adams,0001,Attorney General,3,REP,Jon Bruning,144,SW
Adams,0010,Representative,3,REP,Adrian Smith,52,FED
Adams,0010,Governor,3,DEM,"Mike Meister, Governor",18,SW
Adams,0010,Auditor,3,REP,Mike Foley,57,SW
Adams,0010,State Treasurer,3,DEM,Mark Stoj,12,SW
Adams,0010,Auditor,3,LIB,Michele Sallach-Grace,19,SW
Adams,0010,Attorney General,3,REP,Jon Bruning,70,SW
Adams,0010,Secretary of State,3,REP,John A. Gale,62,SW
Adams,111,Secretary of State,3,DEM,Janet Stewart,101,SW
Adams,111,State Treasurer,3,REP,Don Stenberg,209,SW
Adams,111,Governor,3,REP,"Dave Heineman, Governor",219,SW
Adams,111,Representative,3,ZZZ,Dan Hill,39,FED
Adams,111,Representative,3,DEM,Rebekah Davis,70,FED
Adams,111,Representative,3,REP,Adrian Smith,194,FED
Adams,111,Governor,3,DEM,"Mike Meister, Governor",88,SW
Adams,111,Auditor,3,REP,Mike Foley,197,SW
Adams,111,State Treasurer,3,DEM,Mark Stoj,90,SW
Adams,111,Auditor,3,LIB,Michele Sallach-Grace,82,SW
Adams,111,Attorney General,3,REP,Jon Bruning,248,SW
Adams,111,Secretary of State,3,REP,John A. Gale,196,SW
Adams,121,Secretary of State,3,DEM,Janet Stewart,85,SW
Adams,121,State Treasurer,3,REP,Don Stenberg,179,SW
Adams,121,Governor,3,REP,"Dave Heineman, Governor",193,SW
Adams,121,Representative,3,ZZZ,Dan Hill,45,FED
Adams,121,Representative,3,DEM,Rebekah Davis,64,FED
Adams,121,Representative,3,REP,Adrian Smith,146,FED
Adams,121,Governor,3,DEM,"Mike Meister, Governor",62,SW
Adams,121,Auditor,3,REP,Mike Foley,173,SW
Adams,121,State Treasurer,3,DEM,Mark Stoj,72,SW
Adams,121,Auditor,3,LIB,Michele Sallach-Grace,49,SW
Adams,121,Attorney General,3,REP,Jon Bruning,217,SW
Adams,121,Secretary of State,3,REP,John A. Gale,159,SW
Adams,131,Secretary of State,3,DEM,Janet Stewart,79,SW
Adams,131,State Treasurer,3,REP,Don Stenberg,178,SW
Adams,131,Governor,3,REP,"Dave Heineman, Governor",183,SW
Adams,131,Representative,3,ZZZ,Dan Hill,31,FED
Adams,131,Representative,3,DEM,Rebekah Davis,64,FED
Adams,131,Representative,3,REP,Adrian Smith,156,FED
Adams,131,Governor,3,DEM,"Mike Meister, Governor",70,SW
Adams,131,Auditor,3,REP,Mike Foley,159,SW
Adams,131,State Treasurer,3,DEM,Mark Stoj,67,SW
Adams,131,Auditor,3,LIB,Michele Sallach-Grace,59,SW
Adams,131,Attorney General,3,REP,Jon Bruning,196,SW
Adams,131,Secretary of State,3,REP,John A. Gale,163,SW
Adams,142,Secretary of State,3,DEM,Janet Stewart,5,SW
Adams,142,State Treasurer,3,REP,Don Stenberg,25,SW
Adams,142,Governor,3,REP,"Dave Heineman, Governor",24,SW
Adams,0001,Secretary of State,3,REP,John A. Gale,137,SW
Adams,0002,Secretary of State,3,DEM,Janet Stewart,10,SW
Adams,0002,State Treasurer,3,REP,Don Stenberg,49,SW
Adams,0002,Governor,3,REP,"Dave Heineman, Governor",51,SW
Adams,0002,Representative,3,ZZZ,Dan Hill,12,FED
Adams,0002,Representative,3,DEM,Rebekah Davis,5,FED
Adams,0002,Representative,3,REP,Adrian Smith,44,FED
Adams,0002,Governor,3,DEM,"Mike Meister, Governor",7,SW
Adams,0002,Auditor,3,REP,Mike Foley,45,SW
Adams,0002,State Treasurer,3,DEM,Mark Stoj,8,SW
Adams,0002,Auditor,3,LIB,Michele Sallach-Grace,8,SW
Adams,0002,Attorney General,3,REP,Jon Bruning,55,SW
Adams,0002,Secretary of State,3,REP,John A. Gale,50,SW
Adams,0003,Secretary of State,3,DEM,Janet Stewart,49,SW
Adams,0003,State Treasurer,3,REP,Don Stenberg,245,SW
Adams,0003,Governor,3,REP,"Dave Heineman, Governor",246,SW
Adams,0003,Representative,3,ZZZ,Dan Hill,65,FED
Adams,0003,Representative,3,DEM,Rebekah Davis,34,FED
Adams,0003,Representative,3,REP,Adrian Smith,192,FED
Adams,0003,Governor,3,DEM,"Mike Meister, Governor",43,SW
Adams,0003,Auditor,3,REP,Mike Foley,230,SW
Adams,0003,State Treasurer,3,DEM,Mark Stoj,34,SW
Adams,0003,Auditor,3,LIB,Michele Sallach-Grace,30,SW
Adams,0003,Attorney General,3,REP,Jon Bruning,252,SW
Adams,0003,Secretary of State,3,REP,John A. Gale,232,SW
Adams,0004,Secretary of State,3,DEM,Janet Stewart,44,SW
Adams,0004,State Treasurer,3,REP,Don Stenberg,200,SW
Adams,0004,Governor,3,REP,"Dave Heineman, Governor",198,SW
Adams,0004,Representative,3,ZZZ,Dan Hill,51,FED
Adams,0004,Representative,3,DEM,Rebekah Davis,36,FED
Adams,0004,Representative,3,REP,Adrian Smith,149,FED
Adams,0004,Governor,3,DEM,"Mike Meister, Governor",40,SW
Adams,0004,Auditor,3,REP,Mike Foley,175,SW
Adams,0004,State Treasurer,3,DEM,Mark Stoj,30,SW
Adams,0004,Auditor,3,LIB,Michele Sallach-Grace,38,SW
Adams,0004,Attorney General,3,REP,Jon Bruning,201,SW
Adams,0004,Secretary of State,3,REP,John A. Gale,183,SW
Adams,0005,Secretary of State,3,DEM,Janet Stewart,76,SW
Adams,0005,State Treasurer,3,REP,Don Stenberg,288,SW
Adams,0005,Governor,3,REP,"Dave Heineman, Governor",302,SW
Adams,0005,Representative,3,ZZZ,Dan Hill,88,FED
Adams,0005,Representative,3,DEM,Rebekah Davis,61,FED
Adams,0005,Representative,3,REP,Adrian Smith,223,FED
Adams,0005,Governor,3,DEM,"Mike Meister, Governor",69,SW
Adams,0005,Auditor,3,REP,Mike Foley,290,SW
Adams,0005,State Treasurer,3,DEM,Mark Stoj,62,SW
Adams,0005,Auditor,3,LIB,Michele Sallach-Grace,47,SW
Adams,0005,Attorney General,3,REP,Jon Bruning,305,SW
Adams,0005,Secretary of State,3,REP,John A. Gale,276,SW
Adams,0006,Secretary of State,3,DEM,Janet Stewart,9,SW
Adams,0006,State Treasurer,3,REP,Don Stenberg,42,SW
Adams,0006,Governor,3,REP,"Dave Heineman, Governor",46,SW
Adams,0006,Representative,3,ZZZ,Dan Hill,16,FED
Adams,0006,Representative,3,DEM,Rebekah Davis,5,FED
Adams,0006,Representative,3,REP,Adrian Smith,31,FED
Adams,0006,Governor,3,DEM,"Mike Meister, Governor",7,SW
Adams,0006,Auditor,3,REP,Mike Foley,46,SW
Adams,0006,State Treasurer,3,DEM,Mark Stoj,8,SW
Adams,0006,Auditor,3,LIB,Michele Sallach-Grace,4,SW
Adams,0006,Attorney General,3,REP,Jon Bruning,44,SW
Adams,0006,Secretary of State,3,REP,John A. Gale,40,SW
Adams,0007,Secretary of State,3,DEM,Janet Stewart,17,SW
Adams,0007,State Treasurer,3,REP,Don Stenberg,63,SW
Adams,0007,Governor,3,REP,"Dave Heineman, Governor",67,SW
Adams,0007,Representative,3,ZZZ,Dan Hill,13,FED
Adams,0007,Representative,3,DEM,Rebekah Davis,17,FED
Adams,0007,Representative,3,REP,Adrian Smith,51,FED
Adams,0007,Governor,3,DEM,"Mike Meister, Governor",14,SW
Adams,0007,Auditor,3,REP,Mike Foley,54,SW
Adams,0007,State Treasurer,3,DEM,Mark Stoj,17,SW
Adams,0007,Auditor,3,LIB,Michele Sallach-Grace,13,SW
Adams,0007,Attorney General,3,REP,Jon Bruning,63,SW
Adams,0007,Secretary of State,3,REP,John A. Gale,59,SW
Adams,0008,Secretary of State,3,DEM,Janet Stewart,29,SW
Adams,0008,State Treasurer,3,REP,Don Stenberg,157,SW
Adams,0008,Governor,3,REP,"Dave Heineman, Governor",160,SW
Adams,0008,Representative,3,ZZZ,Dan Hill,26,FED
Adams,0008,Representative,3,DEM,Rebekah Davis,28,FED
Adams,0008,Representative,3,REP,Adrian Smith,142,FED
Adams,0008,Governor,3,DEM,"Mike Meister, Governor",34,SW
Adams,0008,Auditor,3,REP,Mike Foley,150,SW
Adams,0008,State Treasurer,3,DEM,Mark Stoj,31,SW
Adams,0008,Auditor,3,LIB,Michele Sallach-Grace,29,SW
Adams,0008,Attorney General,3,REP,Jon Bruning,177,SW
Adams,0008,Secretary of State,3,REP,John A. Gale,159,SW
Adams,0009,Secretary of State,3,DEM,Janet Stewart,28,SW
Adams,0009,State Treasurer,3,REP,Don Stenberg,133,SW
Adams,0009,Governor,3,REP,"Dave Heineman, Governor",137,SW
Adams,0009,Representative,3,ZZZ,Dan Hill,28,FED
Adams,0009,Representative,3,DEM,Rebekah Davis,16,FED
Adams,0009,Representative,3,REP,Adrian Smith,113,FED
Adams,0009,Governor,3,DEM,"Mike Meister, Governor",20,SW
Adams,0009,Auditor,3,REP,Mike Foley,119,SW
Adams,0009,State Treasurer,3,DEM,Mark Stoj,19,SW
Adams,0009,Auditor,3,LIB,Michele Sallach-Grace,23,SW
Adams,0009,Attorney General,3,REP,Jon Bruning,137,SW
Adams,0009,Secretary of State,3,REP,John A. Gale,115,SW
Adams,0010,Secretary of State,3,DEM,Janet Stewart,17,SW
Adams,0010,State Treasurer,3,REP,Don Stenberg,68,SW
Adams,0010,Governor,3,REP,"Dave Heineman, Governor",63,SW
Adams,0010,Representative,3,ZZZ,Dan Hill,13,FED
Adams,0010,Representative,3,DEM,Rebekah Davis,17,FED
Adams,142,Representative,3,ZZZ,Dan Hill,6,FED
Adams,142,Representative,3,DEM,Rebekah Davis,3,FED
Adams,142,Representative,3,REP,Adrian Smith,21,FED
Adams,142,Governor,3,DEM,"Mike Meister, Governor",6,SW
Adams,142,Auditor,3,REP,Mike Foley,20,SW
Adams,142,State Treasurer,3,DEM,Mark Stoj,5,SW
Adams,142,Auditor,3,LIB,Michele Sallach-Grace,6,SW
Adams,142,Attorney General,3,REP,Jon Bruning,24,SW
Adams,142,Secretary of State,3,REP,John A. Gale,24,SW
Adams,152,Secretary of State,3,DEM,Janet Stewart,106,SW
Adams,152,State Treasurer,3,REP,Don Stenberg,403,SW
Adams,152,Governor,3,REP,"Dave Heineman, Governor",439,SW
Adams,152,Representative,3,ZZZ,Dan Hill,119,FED
Adams,152,Representative,3,DEM,Rebekah Davis,84,FED
Adams,152,Representative,3,REP,Adrian Smith,319,FED
Adams,152,Governor,3,DEM,"Mike Meister, Governor",85,SW
Adams,152,Auditor,3,REP,Mike Foley,390,SW
Adams,152,State Treasurer,3,DEM,Mark Stoj,97,SW
Adams,152,Auditor,3,LIB,Michele Sallach-Grace,67,SW
Adams,152,Attorney General,3,REP,Jon Bruning,451,SW
Adams,152,Secretary of State,3,REP,John A. Gale,387,SW
Adams,162,Secretary of State,3,DEM,Janet Stewart,105,SW
Adams,162,State Treasurer,3,REP,Don Stenberg,233,SW
Adams,162,Governor,3,REP,"Dave Heineman, Governor",250,SW
Adams,162,Representative,3,ZZZ,Dan Hill,64,FED
Adams,162,Representative,3,DEM,Rebekah Davis,73,FED
Adams,162,Representative,3,REP,Adrian Smith,188,FED
Adams,162,Governor,3,DEM,"Mike Meister, Governor",78,SW
Adams,162,Auditor,3,REP,Mike Foley,224,SW
Adams,162,State Treasurer,3,DEM,Mark Stoj,83,SW
Adams,162,Auditor,3,LIB,Michele Sallach-Grace,58,SW
Adams,162,Attorney General,3,REP,Jon Bruning,270,SW
Adams,162,Secretary of State,3,REP,John A. Gale,207,SW
Adams,172,Secretary of State,3,DEM,Janet Stewart,126,SW
Adams,172,State Treasurer,3,REP,Don Stenberg,415,SW
Adams,172,Governor,3,REP,"Dave Heineman, Governor",440,SW
Adams,172,Representative,3,ZZZ,Dan Hill,108,FED
Adams,172,Representative,3,DEM,Rebekah Davis,106,FED
Adams,172,Representative,3,REP,Adrian Smith,335,FED
Adams,172,Governor,3,DEM,"Mike Meister, Governor",111,SW
Adams,172,Auditor,3,REP,Mike Foley,419,SW
