"","county","precinct","district","office","party","candidate","votes"
"1","Cedar","Early",NA,"Ballots Cast","","",472
"2","Cedar","Precinct 10 (17-18)",NA,"Ballots Cast","","",138
"3","Cedar","Precinct 13 (21)",NA,"Ballots Cast","","",532
"4","Cedar","Precinct 3 (4)",NA,"Ballots Cast","","",193
"5","Cedar","Precinct 4 (5-6-7)",NA,"Ballots Cast","","",261
"6","Cedar","Precinct 7 (9A)",NA,"Ballots Cast","","",96
"7","Cedar","Precinct 1 (1)",NA,"Ballots Cast","","",194
"8","Cedar","Precinct 11 (19)",NA,"Ballots Cast","","",460
"9","Cedar","Precinct 12 (20)",NA,"Ballots Cast","","",148
"10","Cedar","Precinct 2 (2-3)",NA,"Ballots Cast","","",404
"11","Cedar","Precinct 5 (13-14)",NA,"Ballots Cast","","",170
"12","Cedar","Precinct 6 (8-9)",NA,"Ballots Cast","","",844
"13","Cedar","Precinct 8 (10-11-12)",NA,"Ballots Cast","","",272
"14","Cedar","Precinct 9 (15-16)",NA,"Ballots Cast","","",327
"15","Cedar","Early",NA,"President","REP","Donald J. Trump",349
"16","Cedar","Precinct 10 (17-18)",NA,"President","REP","Donald J. Trump",117
"17","Cedar","Precinct 13 (21)",NA,"President","REP","Donald J. Trump",438
"18","Cedar","Precinct 3 (4)",NA,"President","REP","Donald J. Trump",143
"19","Cedar","Precinct 4 (5-6-7)",NA,"President","REP","Donald J. Trump",210
"20","Cedar","Precinct 7 (9A)",NA,"President","REP","Donald J. Trump",62
"21","Cedar","Precinct 1 (1)",NA,"President","REP","Donald J. Trump",128
"22","Cedar","Precinct 11 (19)",NA,"President","REP","Donald J. Trump",364
"23","Cedar","Precinct 12 (20)",NA,"President","REP","Donald J. Trump",93
"24","Cedar","Precinct 2 (2-3)",NA,"President","REP","Donald J. Trump",313
"25","Cedar","Precinct 5 (13-14)",NA,"President","REP","Donald J. Trump",132
"26","Cedar","Precinct 6 (8-9)",NA,"President","REP","Donald J. Trump",678
"27","Cedar","Precinct 8 (10-11-12)",NA,"President","REP","Donald J. Trump",225
"28","Cedar","Precinct 9 (15-16)",NA,"President","REP","Donald J. Trump",280
"29","Cedar","Early",NA,"President","DEM","Hillary Clinton",78
"30","Cedar","Precinct 10 (17-18)",NA,"President","DEM","Hillary Clinton",12
"31","Cedar","Precinct 13 (21)",NA,"President","DEM","Hillary Clinton",51
"32","Cedar","Precinct 3 (4)",NA,"President","DEM","Hillary Clinton",27
"33","Cedar","Precinct 4 (5-6-7)",NA,"President","DEM","Hillary Clinton",27
"34","Cedar","Precinct 7 (9A)",NA,"President","DEM","Hillary Clinton",18
"35","Cedar","Precinct 1 (1)",NA,"President","DEM","Hillary Clinton",35
"36","Cedar","Precinct 11 (19)",NA,"President","DEM","Hillary Clinton",50
"37","Cedar","Precinct 12 (20)",NA,"President","DEM","Hillary Clinton",32
"38","Cedar","Precinct 2 (2-3)",NA,"President","DEM","Hillary Clinton",56
"39","Cedar","Precinct 5 (13-14)",NA,"President","DEM","Hillary Clinton",26
"40","Cedar","Precinct 6 (8-9)",NA,"President","DEM","Hillary Clinton",105
"41","Cedar","Precinct 8 (10-11-12)",NA,"President","DEM","Hillary Clinton",23
"42","Cedar","Precinct 9 (15-16)",NA,"President","DEM","Hillary Clinton",31
