county,precinct,office,district,party,candidate,votes,election_day,early_votes
Frontier,Eustis,Registered Voters,,,,464,,
Frontier,Eustis,Ballots Cast,,,,344,313,31
Frontier,Eustis,President,,REP,Donald J. Trump,268,245,23
Frontier,Eustis,President,,DEM,Hillary Clinton,59,53,6
Frontier,Eustis,President,,LIB,Gary Johnson,9,9,0
Frontier,Eustis,President,,,Jill Stein,3,2,1
Frontier,Eustis,President,,,Write-ins,1,1,0
Frontier,Eustis,U.S. House,3,REP,Adrian Smith,300,281,19
Frontier,Eustis,U.S. House,3,,Write-ins,6,5,1
Frontier,Stockville,Registered Voters,,,,361,,
Frontier,Stockville,Ballots Cast,,,,263,197,66
Frontier,Stockville,President,,REP,Donald J. Trump,231,173,58
Frontier,Stockville,President,,DEM,Hillary Clinton,18,14,4
Frontier,Stockville,President,,LIB,Gary Johnson,6,4,2
Frontier,Stockville,President,,,Jill Stein,1,1,0
Frontier,Stockville,President,,,Write-ins,5,3,2
Frontier,Stockville,U.S. House,3,REP,Adrian Smith,236,174,62
Frontier,Stockville,U.S. House,3,,Write-ins,2,2,0
Frontier,Curtis,Registered Voters,,,,611,,
Frontier,Curtis,Ballots Cast,,,,400,322,78
Frontier,Curtis,President,,REP,Donald J. Trump,332,276,56
Frontier,Curtis,President,,DEM,Hillary Clinton,48,31,17
Frontier,Curtis,President,,LIB,Gary Johnson,10,7,3
Frontier,Curtis,President,,,Jill Stein,3,2,1
Frontier,Curtis,President,,,Write-ins,5,5,0
Frontier,Curtis,U.S. House,3,REP,Adrian Smith,349,281,68
Frontier,Curtis,U.S. House,3,,Write-ins,1,1,0
Frontier,Maywood,Registered Voters,,,,296,,
Frontier,Maywood,Ballots Cast,,,,227,204,23
Frontier,Maywood,President,,REP,Donald J. Trump,181,168,13
Frontier,Maywood,President,,DEM,Hillary Clinton,31,22,9
Frontier,Maywood,President,,LIB,Gary Johnson,7,7,0
Frontier,Maywood,President,,,Jill Stein,1,1,0
Frontier,Maywood,President,,,Write-ins,0,0,0
Frontier,Maywood,U.S. House,3,REP,Adrian Smith,196,180,16
Frontier,Maywood,U.S. House,3,,Write-ins,4,1,3
Frontier,Garden Prairie,Registered Voters,,,,135,,
Frontier,Garden Prairie,Ballots Cast,,,,105,94,11
Frontier,Garden Prairie,President,,REP,Donald J. Trump,94,85,9
Frontier,Garden Prairie,President,,DEM,Hillary Clinton,5,3,2
Frontier,Garden Prairie,President,,LIB,Gary Johnson,3,3,0
Frontier,Garden Prairie,President,,,Jill Stein,0,0,0
Frontier,Garden Prairie,President,,,Write-ins,2,2,0
Frontier,Garden Prairie,U.S. House,3,REP,Adrian Smith,94,84,10
Frontier,Garden Prairie,U.S. House,3,,Write-ins,1,1,0
