county,precinct,office,district,party,candidate,voters
Rock,Absentee/Early Vote,President,,Democratic,Hillary Clinton,23
Rock,Countywide,President,,Democratic,Hillary Clinton,47
Rock,New/Former Resident,President,,Democratic,Hillary Clinton,0
Rock,Rock,President,,Democratic,Hillary Clinton,0
Rock,Absentee/Early Vote,President,,Libertarian,Gary Johnson,12
Rock,Countywide,President,,Libertarian,Gary Johnson,21
Rock,New/Former Resident,President,,Libertarian,Gary Johnson,0
Rock,Rock,President,,Libertarian,Gary Johnson,0
Rock,Absentee/Early Vote,President,,,Jill Stein,1
Rock,Countywide,President,,,Jill Stein,3
Rock,New/Former Resident,President,,,Jill Stein,0
Rock,Rock,President,,,Jill Stein,0
Rock,Absentee/Early Vote,President,,Republican,Donald J. Trump,185
Rock,Countywide,President,,Republican,Donald J. Trump,502
Rock,New/Former Resident,President,,Republican,Donald J. Trump,0
Rock,Rock,President,,Republican,Donald J. Trump,0
Rock,Absentee/Early Vote,U.S. House,3,Republican,Adrian Smith,195
Rock,Countywide,U.S. House,3,Republican,Adrian Smith,498
Rock,New/Former Resident,U.S. House,3,Republican,Adrian Smith,0
Rock,Rock,U.S. House,3,Republican,Adrian Smith,0
