"","county","precinct","district","office","party","candidate","votes"
"1","Dawson","Coyote",NA,"Registered Voters","","",322
"2","Dawson","Coyote",NA,"Ballots Cast","","",159
"3","Dawson","Coyote",NA,"President","REP","Donald J. Trump",123
"4","Dawson","Coyote",NA,"President","DEM","Hillary Clinton",29
"5","Dawson","Coyote",NA,"President","LIB","Gary Johnson",3
"6","Dawson","Coyote",NA,"President","","Jill Stein",1
"7","Dawson","Coyote",NA,"President","","Write-ins",1
"8","Dawson","Coyote",3,"U.S. House","REP","Adrian Smith",141
"9","Dawson","Coyote",3,"U.S. House","","Write-ins",0
"10","Dawson","Cozad East",NA,"Registered Voters","","",1296
"11","Dawson","Cozad East",NA,"Ballots Cast","","",732
"12","Dawson","Cozad East",NA,"President","REP","Donald J. Trump",558
"13","Dawson","Cozad East",NA,"President","DEM","Hillary Clinton",121
"14","Dawson","Cozad East",NA,"President","LIB","Gary Johnson",30
"15","Dawson","Cozad East",NA,"President","","Jill Stein",7
"16","Dawson","Cozad East",NA,"President","","Write-ins",9
"17","Dawson","Cozad East",3,"U.S. House","REP","Adrian Smith",650
"18","Dawson","Cozad East",3,"U.S. House","","Write-ins",7
"19","Dawson","Cozad West",NA,"Registered Voters","","",1214
"20","Dawson","Cozad West",NA,"Ballots Cast","","",686
"21","Dawson","Cozad West",NA,"President","REP","Donald J. Trump",528
"22","Dawson","Cozad West",NA,"President","DEM","Hillary Clinton",108
"23","Dawson","Cozad West",NA,"President","LIB","Gary Johnson",29
"24","Dawson","Cozad West",NA,"President","","Jill Stein",4
"25","Dawson","Cozad West",NA,"President","","Write-ins",5
"26","Dawson","Cozad West",3,"U.S. House","REP","Adrian Smith",594
"27","Dawson","Cozad West",3,"U.S. House","","Write-ins",9
"28","Dawson","Fairview",NA,"Registered Voters","","",183
"29","Dawson","Fairview",NA,"Ballots Cast","","",121
"30","Dawson","Fairview",NA,"President","REP","Donald J. Trump",96
"31","Dawson","Fairview",NA,"President","DEM","Hillary Clinton",21
"32","Dawson","Fairview",NA,"President","LIB","Gary Johnson",3
"33","Dawson","Fairview",NA,"President","","Jill Stein",0
"34","Dawson","Fairview",NA,"President","","Write-ins",0
