county,precinct,office,district,party,candidate,election_day,early_voting,votes
Nance,BGCP,President,,Republican,Donald J. Trump,220,41,261
Nance,CLFWE,President,,Republican,Donald J. Trump,143,56,199
Nance,CTS,President,,Republican,Donald J. Trump,106,16,122
Nance,Fullerton,President,,Republican,Donald J. Trump,300,76,376
Nance,Genoa I,President,,Republican,Donald J. Trump,134,12,146
Nance,Genoa II,President,,Republican,Donald J. Trump,133,23,156
Nance,BGCP,President,,Democratic,Hillary Clinton,38,8,46
Nance,CLFWE,President,,Democratic,Hillary Clinton,21,14,35
Nance,CTS,President,,Democratic,Hillary Clinton,20,3,23
Nance,Fullerton,President,,Democratic,Hillary Clinton,74,35,109
Nance,Genoa I,President,,Democratic,Hillary Clinton,35,3,38
Nance,Genoa II,President,,Democratic,Hillary Clinton,25,4,29
Nance,BGCP,President,,Libertarian,Gary Johnson,4,5,9
Nance,CLFWE,President,,Libertarian,Gary Johnson,1,0,1
Nance,CTS,President,,Libertarian,Gary Johnson,5,0,5
Nance,Fullerton,President,,Libertarian,Gary Johnson,11,5,16
Nance,Genoa I,President,,Libertarian,Gary Johnson,9,0,9
Nance,Genoa II,President,,Libertarian,Gary Johnson,5,2,7
Nance,BGCP,President,,,Jill Stein,0,0,0
Nance,CLFWE,President,,,Jill Stein,0,0,0
Nance,CTS,President,,,Jill Stein,8,0,8
Nance,Fullerton,President,,,Jill Stein,4,0,4
Nance,Genoa I,President,,,Jill Stein,1,0,1
Nance,Genoa II,President,,,Jill Stein,1,0,1
Nance,BGCP,President,,,Write-ins,2,1,3
Nance,CLFWE,President,,,Write-ins,1,1,2
Nance,CTS,President,,,Write-ins,2,1,3
Nance,Fullerton,President,,,Write-ins,8,0,8
Nance,Genoa I,President,,,Write-ins,1,0,1
Nance,Genoa II,President,,,Write-ins,0,0,0
Nance,BGCP,U.S. House,3,Republican,Adrian Smith,216,41,257
Nance,CLFWE,U.S. House,3,Republican,Adrian Smith,123,49,172
Nance,CTS,U.S. House,3,Republican,Adrian Smith,111,16,127
Nance,Fullerton,U.S. House,3,Republican,Adrian Smith,315,88,403
Nance,Genoa I,U.S. House,3,Republican,Adrian Smith,149,12,161
Nance,Genoa II,U.S. House,3,Republican,Adrian Smith,135,21,156
Nance,BGCP,U.S. House,3,,Write-ins,0,1,1
Nance,CLFWE,U.S. House,3,,Write-ins,2,0,2
Nance,CTS,U.S. House,3,,Write-ins,0,0,0
Nance,Fullerton,U.S. House,3,,Write-ins,2,0,2
Nance,Genoa I,U.S. House,3,,Write-ins,3,2,5
Nance,Genoa II,U.S. House,3,,Write-ins,4,1,5
