"","county","precinct","district","office","party","candidate","votes"
"1","Washington","Fort Calhoun East",NA,"President","REP","Donald J. Trump",400
"2","Washington","Fort Calhoun West",NA,"President","REP","Donald J. Trump",522
"3","Washington","Kennard",NA,"President","REP","Donald J. Trump",459
"4","Washington","Lakeland",NA,"President","REP","Donald J. Trump",657
"5","Washington","Skyline",NA,"President","REP","Donald J. Trump",341
"6","Washington","Central",NA,"President","REP","Donald J. Trump",364
"7","Washington","Dana",NA,"President","REP","Donald J. Trump",415
"8","Washington","Washington",NA,"President","REP","Donald J. Trump",268
"9","Washington","Herman",NA,"President","REP","Donald J. Trump",231
"10","Washington","Cuming City",NA,"President","REP","Donald J. Trump",253
"11","Washington","DeSoto",NA,"President","REP","Donald J. Trump",308
"12","Washington","Fontanelle",NA,"President","REP","Donald J. Trump",396
"13","Washington","Arlington",NA,"President","REP","Donald J. Trump",554
"14","Washington","Arbor",NA,"President","REP","Donald J. Trump",332
"15","Washington","North-view",NA,"President","REP","Donald J. Trump",390
"16","Washington","Absentee",NA,"President","REP","Donald J. Trump",1531
"17","Washington","New/Former Resident",NA,"President","REP","Donald J. Trump",3
"18","Washington","Total",NA,"President","REP","Donald J. Trump",7424
"19","Washington","Fort Calhoun East",NA,"President","DEM","Hillary Clinton",179
"20","Washington","Fort Calhoun West",NA,"President","DEM","Hillary Clinton",172
"21","Washington","Kennard",NA,"President","DEM","Hillary Clinton",83
"22","Washington","Lakeland",NA,"President","DEM","Hillary Clinton",233
"23","Washington","Skyline",NA,"President","DEM","Hillary Clinton",148
"24","Washington","Central",NA,"President","DEM","Hillary Clinton",138
"25","Washington","Dana",NA,"President","DEM","Hillary Clinton",157
"26","Washington","Washington",NA,"President","DEM","Hillary Clinton",59
"27","Washington","Herman",NA,"President","DEM","Hillary Clinton",65
"28","Washington","Cuming City",NA,"President","DEM","Hillary Clinton",53
"29","Washington","DeSoto",NA,"President","DEM","Hillary Clinton",87
"30","Washington","Fontanelle",NA,"President","DEM","Hillary Clinton",63
"31","Washington","Arlington",NA,"President","DEM","Hillary Clinton",151
"32","Washington","Arbor",NA,"President","DEM","Hillary Clinton",116
"33","Washington","North-view",NA,"President","DEM","Hillary Clinton",147
"34","Washington","Absentee",NA,"President","DEM","Hillary Clinton",772
"35","Washington","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"36","Washington","Total",NA,"President","DEM","Hillary Clinton",2623
"37","Washington","Fort Calhoun East",NA,"President","LIB","Gary Johnson",30
"38","Washington","Fort Calhoun West",NA,"President","LIB","Gary Johnson",28
"39","Washington","Kennard",NA,"President","LIB","Gary Johnson",19
"40","Washington","Lakeland",NA,"President","LIB","Gary Johnson",29
"41","Washington","Skyline",NA,"President","LIB","Gary Johnson",36
"42","Washington","Central",NA,"President","LIB","Gary Johnson",39
"43","Washington","Dana",NA,"President","LIB","Gary Johnson",24
"44","Washington","Washington",NA,"President","LIB","Gary Johnson",10
"45","Washington","Herman",NA,"President","LIB","Gary Johnson",18
"46","Washington","Cuming City",NA,"President","LIB","Gary Johnson",11
"47","Washington","DeSoto",NA,"President","LIB","Gary Johnson",26
"48","Washington","Fontanelle",NA,"President","LIB","Gary Johnson",18
"49","Washington","Arlington",NA,"President","LIB","Gary Johnson",40
"50","Washington","Arbor",NA,"President","LIB","Gary Johnson",24
"51","Washington","North-view",NA,"President","LIB","Gary Johnson",50
"52","Washington","Absentee",NA,"President","LIB","Gary Johnson",110
"53","Washington","New/Former Resident",NA,"President","LIB","Gary Johnson",1
"54","Washington","Total",NA,"President","LIB","Gary Johnson",513
"55","Washington","Fort Calhoun East",NA,"President","","Jill Stein",10
"56","Washington","Fort Calhoun West",NA,"President","","Jill Stein",4
"57","Washington","Kennard",NA,"President","","Jill Stein",5
"58","Washington","Lakeland",NA,"President","","Jill Stein",8
"59","Washington","Skyline",NA,"President","","Jill Stein",4
"60","Washington","Central",NA,"President","","Jill Stein",8
"61","Washington","Dana",NA,"President","","Jill Stein",6
"62","Washington","Washington",NA,"President","","Jill Stein",2
"63","Washington","Herman",NA,"President","","Jill Stein",2
"64","Washington","Cuming City",NA,"President","","Jill Stein",3
"65","Washington","DeSoto",NA,"President","","Jill Stein",3
"66","Washington","Fontanelle",NA,"President","","Jill Stein",4
"67","Washington","Arlington",NA,"President","","Jill Stein",5
"68","Washington","Arbor",NA,"President","","Jill Stein",1
"69","Washington","North-view",NA,"President","","Jill Stein",6
"70","Washington","Absentee",NA,"President","","Jill Stein",26
"71","Washington","New/Former Resident",NA,"President","","Jill Stein",0
"72","Washington","Total",NA,"President","","Jill Stein",97
"73","Washington","Fort Calhoun East",NA,"President","","Write-ins",5
"74","Washington","Fort Calhoun West",NA,"President","","Write-ins",8
"75","Washington","Kennard",NA,"President","","Write-ins",14
"76","Washington","Lakeland",NA,"President","","Write-ins",23
"77","Washington","Skyline",NA,"President","","Write-ins",10
"78","Washington","Central",NA,"President","","Write-ins",14
"79","Washington","Dana",NA,"President","","Write-ins",11
"80","Washington","Washington",NA,"President","","Write-ins",4
"81","Washington","Herman",NA,"President","","Write-ins",1
"82","Washington","Cuming City",NA,"President","","Write-ins",0
"83","Washington","DeSoto",NA,"President","","Write-ins",5
"84","Washington","Fontanelle",NA,"President","","Write-ins",6
"85","Washington","Arlington",NA,"President","","Write-ins",13
"86","Washington","Arbor",NA,"President","","Write-ins",12
"87","Washington","North-view",NA,"President","","Write-ins",11
"88","Washington","Absentee",NA,"President","","Write-ins",38
"89","Washington","New/Former Resident",NA,"President","","Write-ins",0
"90","Washington","Total",NA,"President","","Write-ins",175
"91","Washington","Fort Calhoun East",1,"U.S. House","REP","Jeff Fortenberry",444
"92","Washington","Fort Calhoun West",1,"U.S. House","REP","Jeff Fortenberry",560
"93","Washington","Kennard",1,"U.S. House","REP","Jeff Fortenberry",481
"94","Washington","Lakeland",1,"U.S. House","REP","Jeff Fortenberry",730
"95","Washington","Skyline",1,"U.S. House","REP","Jeff Fortenberry",388
"96","Washington","Central",1,"U.S. House","REP","Jeff Fortenberry",426
"97","Washington","Dana",1,"U.S. House","REP","Jeff Fortenberry",483
"98","Washington","Washington",1,"U.S. House","REP","Jeff Fortenberry",282
"99","Washington","Herman",1,"U.S. House","REP","Jeff Fortenberry",261
"100","Washington","Cuming City",1,"U.S. House","REP","Jeff Fortenberry",265
