"","county","precinct","district","office","party","candidate","votes"
"1","Keith","0001-First Ward",NA,"President","REP","Donald J. Trump",223
"2","Keith","0001-First Ward",NA,"President","DEM","Hillary Clinton",35
"3","Keith","0001-First Ward",NA,"President","LIB","Johnson/Weld",12
"4","Keith","0001-First Ward",NA,"President","PET","Jill Stein",3
"5","Keith","0001-First Ward",NA,"President",NA,"Write-ins",2
"6","Keith","0002-Second Ward",NA,"President","REP","Donald J. Trump",237
"7","Keith","0002-Second Ward",NA,"President","DEM","Hillary Clinton",64
"8","Keith","0002-Second Ward",NA,"President","LIB","Johnson/Weld",16
"9","Keith","0002-Second Ward",NA,"President","PET","Jill Stein",4
"10","Keith","0002-Second Ward",NA,"President",NA,"Write-ins",1
"11","Keith","0003-Third Ward",NA,"President","REP","Donald J. Trump",252
"12","Keith","0003-Third Ward",NA,"President","DEM","Hillary Clinton",40
"13","Keith","0003-Third Ward",NA,"President","LIB","Johnson/Weld",11
"14","Keith","0003-Third Ward",NA,"President","PET","Jill Stein",2
"15","Keith","0003-Third Ward",NA,"President",NA,"Write-ins",6
"16","Keith","0004-Fourth Ward",NA,"President","REP","Donald J. Trump",283
"17","Keith","0004-Fourth Ward",NA,"President","DEM","Hillary Clinton",48
"18","Keith","0004-Fourth Ward",NA,"President","LIB","Johnson/Weld",18
"19","Keith","0004-Fourth Ward",NA,"President","PET","Jill Stein",3
"20","Keith","0004-Fourth Ward",NA,"President",NA,"Write-ins",1
"21","Keith","0005-Fifth Ward",NA,"President","REP","Donald J. Trump",430
"22","Keith","0005-Fifth Ward",NA,"President","DEM","Hillary Clinton",68
"23","Keith","0005-Fifth Ward",NA,"President","LIB","Johnson/Weld",27
"24","Keith","0005-Fifth Ward",NA,"President","PET","Jill Stein",2
"25","Keith","0005-Fifth Ward",NA,"President",NA,"Write-ins",6
"26","Keith","0006-Brule",NA,"President","REP","Donald J. Trump",266
"27","Keith","0006-Brule",NA,"President","DEM","Hillary Clinton",31
"28","Keith","0006-Brule",NA,"President","LIB","Johnson/Weld",15
"29","Keith","0006-Brule",NA,"President","PET","Jill Stein",0
