"","county","precinct","district","office","party","candidate","votes"
"1","Burt","Arizona-Riverside",NA,"Registered Voters","","",288
"2","Burt","BellCreek-Oakland-Pershing",NA,"Registered Voters","","",374
"3","Burt","Craig",NA,"Registered Voters","","",353
"4","Burt","Decatur-Quinnebaugh",NA,"Registered Voters","","",531
"5","Burt","Everett-Logan",NA,"Registered Voters","","",284
"6","Burt","Lyons",NA,"Registered Voters","","",596
"7","Burt","Oakland I",NA,"Registered Voters","","",440
"8","Burt","Oakland II",NA,"Registered Voters","","",440
"9","Burt","Silvercreek-Summit",NA,"Registered Voters","","",396
"10","Burt","Tekamah I",NA,"Registered Voters","","",616
"11","Burt","Tekamah II",NA,"Registered Voters","","",618
"12","Burt","Total",NA,"Registered Voters","","",4936
"13","Burt","Absentee",NA,"Ballots Cast","","",566
"14","Burt","Arizona-Riverside",NA,"Ballots Cast","","",170
"15","Burt","BellCreek-Oakland-Pershing",NA,"Ballots Cast","","",246
"16","Burt","Craig",NA,"Ballots Cast","","",222
"17","Burt","Decatur-Quinnebaugh",NA,"Ballots Cast","","",334
"18","Burt","Everett-Logan",NA,"Ballots Cast","","",174
"19","Burt","Lyons",NA,"Ballots Cast","","",352
"20","Burt","Oakland I",NA,"Ballots Cast","","",296
"21","Burt","Oakland II",NA,"Ballots Cast","","",295
"22","Burt","Silvercreek-Summit",NA,"Ballots Cast","","",244
"23","Burt","Tekamah I",NA,"Ballots Cast","","",370
"24","Burt","Tekamah II",NA,"Ballots Cast","","",356
"25","Burt","Provisional",NA,"Ballots Cast","","",10
"26","Burt","Total",NA,"Ballots Cast","","",3635
"27","Burt","Absentee",NA,"President","REP","Donald J. Trump",315
"28","Burt","Arizona-Riverside",NA,"President","REP","Donald J. Trump",107
"29","Burt","BellCreek-Oakland-Pershing",NA,"President","REP","Donald J. Trump",198
"30","Burt","Craig",NA,"President","REP","Donald J. Trump",154
"31","Burt","Decatur-Quinnebaugh",NA,"President","REP","Donald J. Trump",184
"32","Burt","Everett-Logan",NA,"President","REP","Donald J. Trump",133
"33","Burt","Lyons",NA,"President","REP","Donald J. Trump",239
"34","Burt","Oakland I",NA,"President","REP","Donald J. Trump",209
"35","Burt","Oakland II",NA,"President","REP","Donald J. Trump",203
"36","Burt","Silvercreek-Summit",NA,"President","REP","Donald J. Trump",173
"37","Burt","Tekamah I",NA,"President","REP","Donald J. Trump",231
"38","Burt","Tekamah II",NA,"President","REP","Donald J. Trump",214
"39","Burt","Provisional",NA,"President","REP","Donald J. Trump",7
"40","Burt","Total",NA,"President","REP","Donald J. Trump",2367
"41","Burt","Absentee",NA,"President","DEM","Hillary Clinton",206
"42","Burt","Arizona-Riverside",NA,"President","DEM","Hillary Clinton",45
"43","Burt","BellCreek-Oakland-Pershing",NA,"President","DEM","Hillary Clinton",30
"44","Burt","Craig",NA,"President","DEM","Hillary Clinton",40
"45","Burt","Decatur-Quinnebaugh",NA,"President","DEM","Hillary Clinton",113
"46","Burt","Everett-Logan",NA,"President","DEM","Hillary Clinton",30
"47","Burt","Lyons",NA,"President","DEM","Hillary Clinton",86
"48","Burt","Oakland I",NA,"President","DEM","Hillary Clinton",66
"49","Burt","Oakland II",NA,"President","DEM","Hillary Clinton",54
"50","Burt","Silvercreek-Summit",NA,"President","DEM","Hillary Clinton",51
"51","Burt","Tekamah I",NA,"President","DEM","Hillary Clinton",108
"52","Burt","Tekamah II",NA,"President","DEM","Hillary Clinton",99
"53","Burt","Provisional",NA,"President","DEM","Hillary Clinton",2
"54","Burt","Total",NA,"President","DEM","Hillary Clinton",930
"55","Burt","Absentee",NA,"President","LIB","Gary Johnson",25
"56","Burt","Arizona-Riverside",NA,"President","LIB","Gary Johnson",11
"57","Burt","BellCreek-Oakland-Pershing",NA,"President","LIB","Gary Johnson",8
"58","Burt","Craig",NA,"President","LIB","Gary Johnson",17
"59","Burt","Decatur-Quinnebaugh",NA,"President","LIB","Gary Johnson",19
"60","Burt","Everett-Logan",NA,"President","LIB","Gary Johnson",8
"61","Burt","Lyons",NA,"President","LIB","Gary Johnson",11
"62","Burt","Oakland I",NA,"President","LIB","Gary Johnson",9
"63","Burt","Oakland II",NA,"President","LIB","Gary Johnson",22
"64","Burt","Silvercreek-Summit",NA,"President","LIB","Gary Johnson",10
"65","Burt","Tekamah I",NA,"President","LIB","Gary Johnson",21
"66","Burt","Tekamah II",NA,"President","LIB","Gary Johnson",35
"67","Burt","Provisional",NA,"President","LIB","Gary Johnson",1
"68","Burt","Total",NA,"President","LIB","Gary Johnson",197
"69","Burt","Absentee",NA,"President","","Jill Stein",4
"70","Burt","Arizona-Riverside",NA,"President","","Jill Stein",3
"71","Burt","BellCreek-Oakland-Pershing",NA,"President","","Jill Stein",4
"72","Burt","Craig",NA,"President","","Jill Stein",3
"73","Burt","Decatur-Quinnebaugh",NA,"President","","Jill Stein",2
"74","Burt","Everett-Logan",NA,"President","","Jill Stein",1
"75","Burt","Lyons",NA,"President","","Jill Stein",5
"76","Burt","Oakland I",NA,"President","","Jill Stein",2
"77","Burt","Oakland II",NA,"President","","Jill Stein",4
"78","Burt","Silvercreek-Summit",NA,"President","","Jill Stein",6
"79","Burt","Tekamah I",NA,"President","","Jill Stein",3
"80","Burt","Tekamah II",NA,"President","","Jill Stein",2
"81","Burt","Provisional",NA,"President","","Jill Stein",0
"82","Burt","Total",NA,"President","","Jill Stein",39
"83","Burt","Absentee",1,"U.S. House","REP","Jeff Fortenberry",369
"84","Burt","Arizona-Riverside",1,"U.S. House","REP","Jeff Fortenberry",119
