county,precinct_no,precinct_name,office,district,party,candidate,votes
Saunders,14,Ashland ward 1,President/Vice president,,LIB,Johnson/Weld,34
Saunders,15,Ashland ward 2,President/Vice president,,LIB,Johnson/Weld,30
Saunders,16,Ashland rural,President/Vice president,,LIB,Johnson/Weld,29
Saunders,17,Yutan,President/Vice president,,LIB,Johnson/Weld,50
Saunders,,Provisional ballots,President/Vice president,,LIB,Johnson/Weld,7
Saunders,,Early voters,President/Vice president,,PET,Stein/Baraka,14
Saunders,1,Valparaiso,President/Vice president,,PET,Stein/Baraka,7
Saunders,2,Weston,President/Vice president,,PET,Stein/Baraka,3
Saunders,3,Prague,President/Vice president,,PET,Stein/Baraka,4
Saunders,4,Malmo,President/Vice president,,PET,Stein/Baraka,0
Saunders,5,Ceresco,President/Vice president,,PET,Stein/Baraka,8
Saunders,6,Wahoo rural,President/Vice president,,PET,Stein/Baraka,4
Saunders,7,Wahoo ward 1,President/Vice president,,PET,Stein/Baraka,9
Saunders,8,Wahoo ward 2,President/Vice president,,PET,Stein/Baraka,2
Saunders,9,Wahoo ward 3,President/Vice president,,PET,Stein/Baraka,4
Saunders,10,Center,President/Vice president,,PET,Stein/Baraka,2
Saunders,11,Cedar Bluffs,President/Vice president,,PET,Stein/Baraka,9
Saunders,12,Marietta,President/Vice president,,PET,Stein/Baraka,3
Saunders,13,District 4,President/Vice president,,PET,Stein/Baraka,1
Saunders,14,Ashland ward 1,President/Vice president,,PET,Stein/Baraka,3
Saunders,15,Ashland ward 2,President/Vice president,,PET,Stein/Baraka,6
Saunders,16,Ashland rural,President/Vice president,,PET,Stein/Baraka,6
Saunders,17,Yutan,President/Vice president,,PET,Stein/Baraka,10
Saunders,,Provisional ballots,President/Vice president,,PET,Stein/Baraka,2
Saunders,,Early voters,President/Vice president,,NON,Write-in,29
Saunders,1,Valparaiso,President/Vice president,,NON,Write-in,6
Saunders,2,Weston,President/Vice president,,NON,Write-in,7
Saunders,3,Prague,President/Vice president,,NON,Write-in,7
Saunders,4,Malmo,President/Vice president,,NON,Write-in,4
Saunders,5,Ceresco,President/Vice president,,NON,Write-in,12
Saunders,6,Wahoo rural,President/Vice president,,NON,Write-in,5
Saunders,7,Wahoo ward 1,President/Vice president,,NON,Write-in,10
Saunders,8,Wahoo ward 2,President/Vice president,,NON,Write-in,11
Saunders,9,Wahoo ward 3,President/Vice president,,NON,Write-in,17
Saunders,10,Center,President/Vice president,,NON,Write-in,5
Saunders,11,Cedar Bluffs,President/Vice president,,NON,Write-in,6
Saunders,12,Marietta,President/Vice president,,NON,Write-in,2
Saunders,13,District 4,President/Vice president,,NON,Write-in,12
Saunders,14,Ashland ward 1,President/Vice president,,NON,Write-in,4
Saunders,15,Ashland ward 2,President/Vice president,,NON,Write-in,10
Saunders,16,Ashland rural,President/Vice president,,NON,Write-in,12
Saunders,17,Yutan,President/Vice president,,NON,Write-in,11
Saunders,,Provisional ballots,President/Vice president,,NON,Write-in,3
Saunders,,Early voters,U.S. House,1,REP,Jeff Fortenberry,1090
Saunders,1,Valparaiso,U.S. House,1,REP,Jeff Fortenberry,465
Saunders,2,Weston,U.S. House,1,REP,Jeff Fortenberry,293
Saunders,3,Prague,U.S. House,1,REP,Jeff Fortenberry,330
Saunders,4,Malmo,U.S. House,1,REP,Jeff Fortenberry,219
Saunders,5,Ceresco,U.S. House,1,REP,Jeff Fortenberry,572
Saunders,6,Wahoo rural,U.S. House,1,REP,Jeff Fortenberry,321
Saunders,7,Wahoo ward 1,U.S. House,1,REP,Jeff Fortenberry,505
Saunders,8,Wahoo ward 2,U.S. House,1,REP,Jeff Fortenberry,407
Saunders,9,Wahoo ward 3,U.S. House,1,REP,Jeff Fortenberry,406
Saunders,10,Center,U.S. House,1,REP,Jeff Fortenberry,223
Saunders,11,Cedar Bluffs,U.S. House,1,REP,Jeff Fortenberry,471
Saunders,12,Marietta,U.S. House,1,REP,Jeff Fortenberry,289
Saunders,13,District 4,U.S. House,1,REP,Jeff Fortenberry,709
Saunders,14,Ashland ward 1,U.S. House,1,REP,Jeff Fortenberry,311
Saunders,15,Ashland ward 2,U.S. House,1,REP,Jeff Fortenberry,353
Saunders,16,Ashland rural,U.S. House,1,REP,Jeff Fortenberry,476
Saunders,17,Yutan,U.S. House,1,REP,Jeff Fortenberry,776
Saunders,,Provisional ballots,U.S. House,1,REP,Jeff Fortenberry,71
Saunders,,Early voters,U.S. House,1,DEM,Daniel M. Wik,429
Saunders,1,Valparaiso,U.S. House,1,DEM,Daniel M. Wik,141
Saunders,2,Weston,U.S. House,1,DEM,Daniel M. Wik,70
Saunders,3,Prague,U.S. House,1,DEM,Daniel M. Wik,66
Saunders,4,Malmo,U.S. House,1,DEM,Daniel M. Wik,41
Saunders,5,Ceresco,U.S. House,1,DEM,Daniel M. Wik,156
Saunders,6,Wahoo rural,U.S. House,1,DEM,Daniel M. Wik,46
Saunders,7,Wahoo ward 1,U.S. House,1,DEM,Daniel M. Wik,146
Saunders,8,Wahoo ward 2,U.S. House,1,DEM,Daniel M. Wik,94
Saunders,9,Wahoo ward 3,U.S. House,1,DEM,Daniel M. Wik,114
Saunders,10,Center,U.S. House,1,DEM,Daniel M. Wik,47
Saunders,11,Cedar Bluffs,U.S. House,1,DEM,Daniel M. Wik,119
Saunders,12,Marietta,U.S. House,1,DEM,Daniel M. Wik,59
Saunders,13,District 4,U.S. House,1,DEM,Daniel M. Wik,143
Saunders,14,Ashland ward 1,U.S. House,1,DEM,Daniel M. Wik,121
Saunders,15,Ashland ward 2,U.S. House,1,DEM,Daniel M. Wik,105
Saunders,16,Ashland rural,U.S. House,1,DEM,Daniel M. Wik,128
Saunders,17,Yutan,U.S. House,1,DEM,Daniel M. Wik,163
Saunders,,Provisional ballots,U.S. House,1,DEM,Daniel M. Wik,15
Saunders,,Early voters,U.S. House,1,NON,Write-in,3
Saunders,1,Valparaiso,U.S. House,1,NON,Write-in,1
Saunders,2,Weston,U.S. House,1,NON,Write-in,2
Saunders,3,Prague,U.S. House,1,NON,Write-in,0
Saunders,4,Malmo,U.S. House,1,NON,Write-in,1
Saunders,5,Ceresco,U.S. House,1,NON,Write-in,1
Saunders,6,Wahoo rural,U.S. House,1,NON,Write-in,2
Saunders,7,Wahoo ward 1,U.S. House,1,NON,Write-in,0
Saunders,8,Wahoo ward 2,U.S. House,1,NON,Write-in,0
Saunders,9,Wahoo ward 3,U.S. House,1,NON,Write-in,2
Saunders,10,Center,U.S. House,1,NON,Write-in,2
Saunders,11,Cedar Bluffs,U.S. House,1,NON,Write-in,0
Saunders,12,Marietta,U.S. House,1,NON,Write-in,0
Saunders,13,District 4,U.S. House,1,NON,Write-in,3
Saunders,14,Ashland ward 1,U.S. House,1,NON,Write-in,3
Saunders,15,Ashland ward 2,U.S. House,1,NON,Write-in,3
Saunders,16,Ashland rural,U.S. House,1,NON,Write-in,1
Saunders,17,Yutan,U.S. House,1,NON,Write-in,4
Saunders,,Provisional ballots,U.S. House,1,NON,Write-in,0
