county,precinct,office,district,party,candidate,election_day,votes,early_votes
Douglas,01-01,Ballots Cast,,,,875,1277,402
Douglas,01-02,Ballots Cast,,,,500,782,282
Douglas,01-03,Ballots Cast,,,,798,1527,729
Douglas,01-04,Ballots Cast,,,,622,1122,500
Douglas,01-05,Ballots Cast,,,,682,1119,437
Douglas,01-06,Ballots Cast,,,,762,1140,378
Douglas,01-07,Ballots Cast,,,,830,1242,412
Douglas,01-08,Ballots Cast,,,,812,1286,474
Douglas,01-09,Ballots Cast,,,,602,836,234
Douglas,01-10,Ballots Cast,,,,439,611,172
Douglas,01-11,Ballots Cast,,,,643,955,312
Douglas,01-12,Ballots Cast,,,,69,110,41
Douglas,01-13,Ballots Cast,,,,908,1397,489
Douglas,01-14,Ballots Cast,,,,974,1560,586
Douglas,01-15,Ballots Cast,,,,927,1428,501
Douglas,01-16,Ballots Cast,,,,548,863,315
Douglas,01-17,Ballots Cast,,,,763,1165,402
Douglas,01-18,Ballots Cast,,,,943,1593,650
Douglas,01-19,Ballots Cast,,,,750,1236,486
Douglas,01-20,Ballots Cast,,,,704,1051,347
Douglas,01-21,Ballots Cast,,,,725,1180,455
Douglas,01-22,Ballots Cast,,,,605,1003,398
Douglas,01-23,Ballots Cast,,,,670,1013,343
Douglas,01-24,Ballots Cast,,,,593,931,338
Douglas,01-25,Ballots Cast,,,,605,869,264
Douglas,02-01,Ballots Cast,,,,603,865,262
Douglas,02-02,Ballots Cast,,,,620,848,228
Douglas,02-03,Ballots Cast,,,,676,1090,414
Douglas,02-04,Ballots Cast,,,,511,744,233
Douglas,02-05,Ballots Cast,,,,442,671,229
Douglas,02-06,Ballots Cast,,,,507,746,239
Douglas,02-07,Ballots Cast,,,,455,703,248
Douglas,02-08,Ballots Cast,,,,446,710,264
Douglas,02-09,Ballots Cast,,,,459,736,277
Douglas,02-10,Ballots Cast,,,,510,738,228
Douglas,02-11,Ballots Cast,,,,662,1029,367
Douglas,02-12,Ballots Cast,,,,754,1083,329
Douglas,02-13,Ballots Cast,,,,360,577,217
Douglas,02-14,Ballots Cast,,,,720,976,256
Douglas,02-15,Ballots Cast,,,,649,924,275
Douglas,02-16,Ballots Cast,,,,490,762,272
Douglas,02-17,Ballots Cast,,,,587,844,257
Douglas,02-18,Ballots Cast,,,,109,233,124
Douglas,02-19,Ballots Cast,,,,454,694,240
Douglas,02-20,Ballots Cast,,,,395,647,252
Douglas,02-21,Ballots Cast,,,,502,747,245
Douglas,02-22,Ballots Cast,,,,333,531,198
Douglas,02-23,Ballots Cast,,,,525,744,219
Douglas,03-01,Ballots Cast,,,,74,87,13
Douglas,03-02,Ballots Cast,,,,644,939,295
Douglas,03-03,Ballots Cast,,,,757,1136,379
Douglas,03-04,Ballots Cast,,,,909,1443,534
Douglas,03-05,Ballots Cast,,,,615,913,298
Douglas,03-06,Ballots Cast,,,,653,944,291
Douglas,03-07,Ballots Cast,,,,777,1187,410
Douglas,03-08,Ballots Cast,,,,734,1098,364
Douglas,03-09,Ballots Cast,,,,881,1322,441
Douglas,03-10,Ballots Cast,,,,406,664,258
Douglas,03-11,Ballots Cast,,,,699,985,286
Douglas,03-12,Ballots Cast,,,,640,954,314
Douglas,03-13,Ballots Cast,,,,702,988,286
Douglas,03-14,Ballots Cast,,,,796,1258,462
Douglas,03-15,Ballots Cast,,,,954,1493,539
Douglas,03-16,Ballots Cast,,,,"1,085",1700,615
Douglas,03-17,Ballots Cast,,,,792,1143,351
Douglas,03-18,Ballots Cast,,,,588,849,261
Douglas,03-19,Ballots Cast,,,,784,1124,340
Douglas,03-20,Ballots Cast,,,,949,1413,464
Douglas,03-21,Ballots Cast,,,,750,1192,442
Douglas,04-01,Ballots Cast,,,,512,714,202
Douglas,04-02,Ballots Cast,,,,553,820,267
Douglas,04-03,Ballots Cast,,,,519,802,283
Douglas,04-04,Ballots Cast,,,,724,997,273
Douglas,04-05,Ballots Cast,,,,972,1373,401
Douglas,04-06,Ballots Cast,,,,753,1070,317
Douglas,04-07,Ballots Cast,,,,538,781,243
Douglas,04-08,Ballots Cast,,,,713,1074,361
Douglas,04-09,Ballots Cast,,,,377,561,184
Douglas,04-10,Ballots Cast,,,,603,892,289
Douglas,04-11,Ballots Cast,,,,691,1046,355
Douglas,04-12,Ballots Cast,,,,731,1067,336
Douglas,04-13,Ballots Cast,,,,666,962,296
Douglas,04-14,Ballots Cast,,,,392,551,159
Douglas,04-15,Ballots Cast,,,,726,994,268
Douglas,04-16,Ballots Cast,,,,716,1016,300
Douglas,04-17,Ballots Cast,,,,407,609,202
Douglas,04-18,Ballots Cast,,,,460,674,214
Douglas,05-01,Ballots Cast,,,,841,1229,388
Douglas,05-02,Ballots Cast,,,,819,1334,515
Douglas,05-03,Ballots Cast,,,,939,1371,432
Douglas,05-04,Ballots Cast,,,,688,949,261
Douglas,05-05,Ballots Cast,,,,651,939,288
Douglas,05-06,Ballots Cast,,,,595,903,308
Douglas,05-07,Ballots Cast,,,,"1,021",1418,397
Douglas,05-08,Ballots Cast,,,,790,1093,303
Douglas,05-09,Ballots Cast,,,,800,1271,471
Douglas,05-10,Ballots Cast,,,,734,1134,400
Douglas,05-11,Ballots Cast,,,,980,1395,415
Douglas,05-12,Ballots Cast,,,,844,1244,400
Douglas,05-13,Ballots Cast,,,,997,1632,635
Douglas,05-14,Ballots Cast,,,,916,1376,460
Douglas,05-15,Ballots Cast,,,,782,1245,463
Douglas,05-16,Ballots Cast,,,,820,1229,409
Douglas,05-17,Ballots Cast,,,,601,968,367
Douglas,05-18,Ballots Cast,,,,953,1399,446
Douglas,05-19,Ballots Cast,,,,668,1054,386
Douglas,05-20,Ballots Cast,,,,740,1161,421
Douglas,05-21,Ballots Cast,,,,673,1004,331
Douglas,05-22,Ballots Cast,,,,912,1281,369
Douglas,05-23,Ballots Cast,,,,784,1199,415
Douglas,05-24,Ballots Cast,,,,857,1171,314
Douglas,05-25,Ballots Cast,,,,756,1222,466
Douglas,05-26,Ballots Cast,,,,560,793,233
Douglas,05-27,Ballots Cast,,,,560,871,311
Douglas,05-28,Ballots Cast,,,,718,1055,337
Douglas,05-29,Ballots Cast,,,,612,928,316
Douglas,05-30,Ballots Cast,,,,999,1655,656
Douglas,05-31,Ballots Cast,,,,488,867,379
Douglas,05-32,Ballots Cast,,,,148,262,114
Douglas,05-33,Ballots Cast,,,,240,336,96
Douglas,06-01,Ballots Cast,,,,683,1123,440
Douglas,06-02,Ballots Cast,,,,637,1182,545
Douglas,06-03,Ballots Cast,,,,665,1141,476
Douglas,06-04,Ballots Cast,,,,752,1210,458
Douglas,06-05,Ballots Cast,,,,599,962,363
Douglas,06-06,Ballots Cast,,,,713,993,280
Douglas,06-07,Ballots Cast,,,,664,1148,484
Douglas,06-08,Ballots Cast,,,,790,1378,588
Douglas,06-09,Ballots Cast,,,,636,1303,667
Douglas,06-10,Ballots Cast,,,,968,1408,440
Douglas,06-11,Ballots Cast,,,,"1,042",1495,453
Douglas,06-12,Ballots Cast,,,,787,1055,268
Douglas,06-13,Ballots Cast,,,,"1,125",1570,445
Douglas,06-14,Ballots Cast,,,,964,1433,469
Douglas,06-15,Ballots Cast,,,,759,1141,382
Douglas,06-16,Ballots Cast,,,,757,1344,587
Douglas,06-17,Ballots Cast,,,,716,1049,333
Douglas,06-18,Ballots Cast,,,,185,323,138
Douglas,06-19,Ballots Cast,,,,818,1363,545
Douglas,06-20,Ballots Cast,,,,897,1286,389
Douglas,06-21,Ballots Cast,,,,806,1347,541
Douglas,06-22,Ballots Cast,,,,590,1039,449
Douglas,06-23,Ballots Cast,,,,727,988,261
Douglas,06-24,Ballots Cast,,,,874,1219,345
Douglas,06-25,Ballots Cast,,,,600,1082,482
Douglas,06-26,Ballots Cast,,,,526,1072,546
Douglas,06-27,Ballots Cast,,,,698,1105,407
Douglas,06-28,Ballots Cast,,,,811,1302,491
Douglas,06-29,Ballots Cast,,,,677,1049,372
Douglas,06-30,Ballots Cast,,,,334,692,358
Douglas,07-01,Ballots Cast,,,,766,1107,341
Douglas,07-02,Ballots Cast,,,,806,1328,522
Douglas,07-03,Ballots Cast,,,,831,1183,352
Douglas,07-04,Ballots Cast,,,,928,1288,360
Douglas,07-05,Ballots Cast,,,,914,1344,430
