"","county","precinct","district","office","party","candidate","votes"
"1","Gage","Adams Area",NA,"Registered Voters","","",1288
"2","Gage","Adams Area",NA,"Ballots Cast","","",969
"3","Gage","Adams Area",NA,"President","REP","Donald J. Trump",670
"4","Gage","Adams Area",NA,"President","DEM","Hillary Clinton",214
"5","Gage","Adams Area",NA,"President","LIB","Gary Johnson",43
"6","Gage","Adams Area",NA,"President","","Jill Stein",8
"7","Gage","Adams Area",NA,"President","","Write-ins",15
"8","Gage","Adams Area",3,"U.S. House","REP","Adrian Smith",754
"9","Gage","Adams Area",3,"U.S. House","","Write-ins",16
"10","Gage","Odell Area",NA,"Registered Voters","","",701
"11","Gage","Odell Area",NA,"Ballots Cast","","",529
"12","Gage","Odell Area",NA,"President","REP","Donald J. Trump",349
"13","Gage","Odell Area",NA,"President","DEM","Hillary Clinton",138
"14","Gage","Odell Area",NA,"President","LIB","Gary Johnson",23
"15","Gage","Odell Area",NA,"President","","Jill Stein",1
"16","Gage","Odell Area",NA,"President","","Write-ins",3
"17","Gage","Odell Area",3,"U.S. House","REP","Adrian Smith",410
"18","Gage","Odell Area",3,"U.S. House","","Write-ins",12
"19","Gage","Filley/Virginia Area",NA,"Registered Voters","","",723
"20","Gage","Filley/Virginia Area",NA,"Ballots Cast","","",562
"21","Gage","Filley/Virginia Area",NA,"President","REP","Donald J. Trump",385
"22","Gage","Filley/Virginia Area",NA,"President","DEM","Hillary Clinton",134
"23","Gage","Filley/Virginia Area",NA,"President","LIB","Gary Johnson",28
"24","Gage","Filley/Virginia Area",NA,"President","","Jill Stein",2
"25","Gage","Filley/Virginia Area",NA,"President","","Write-ins",5
"26","Gage","Filley/Virginia Area",3,"U.S. House","REP","Adrian Smith",449
"27","Gage","Filley/Virginia Area",3,"U.S. House","","Write-ins",8
"28","Gage","NW Quad Area",NA,"Registered Voters","","",1426
"29","Gage","NW Quad Area",NA,"Ballots Cast","","",1122
"30","Gage","NW Quad Area",NA,"President","REP","Donald J. Trump",725
"31","Gage","NW Quad Area",NA,"President","DEM","Hillary Clinton",298
"32","Gage","NW Quad Area",NA,"President","LIB","Gary Johnson",59
"33","Gage","NW Quad Area",NA,"President","","Jill Stein",9
"34","Gage","NW Quad Area",NA,"President","","Write-ins",16
"35","Gage","NW Quad Area",3,"U.S. House","REP","Adrian Smith",869
"36","Gage","NW Quad Area",3,"U.S. House","","Write-ins",20
"37","Gage","Homestead Area",NA,"Registered Voters","","",987
"38","Gage","Homestead Area",NA,"Ballots Cast","","",780
"39","Gage","Homestead Area",NA,"President","REP","Donald J. Trump",511
"40","Gage","Homestead Area",NA,"President","DEM","Hillary Clinton",200
"41","Gage","Homestead Area",NA,"President","LIB","Gary Johnson",36
"42","Gage","Homestead Area",NA,"President","","Jill Stein",8
"43","Gage","Homestead Area",NA,"President","","Write-ins",11
"44","Gage","Homestead Area",3,"U.S. House","REP","Adrian Smith",614
"45","Gage","Homestead Area",3,"U.S. House","","Write-ins",12
"46","Gage","Wymore Area",NA,"Registered Voters","","",1503
"47","Gage","Wymore Area",NA,"Ballots Cast","","",996
"48","Gage","Wymore Area",NA,"President","REP","Donald J. Trump",625
"49","Gage","Wymore Area",NA,"President","DEM","Hillary Clinton",282
"50","Gage","Wymore Area",NA,"President","LIB","Gary Johnson",41
"51","Gage","Wymore Area",NA,"President","","Jill Stein",12
"52","Gage","Wymore Area",NA,"President","","Write-ins",7
"53","Gage","Wymore Area",3,"U.S. House","REP","Adrian Smith",751
"54","Gage","Wymore Area",3,"U.S. House","","Write-ins",11
