county,precinct,office,district,party,candidate,election_day,early_voting,provisional,votes
Boyd,Butte,Ballots Cast,,,,318,165,0,483
Boyd,Lynch,Ballots Cast,,,,219,33,0,252
Boyd,Spencer,Ballots Cast,,,,378,74,0,452
Boyd,Butte,President,,REP,Donald J. Trump,275,130,0,405
Boyd,Lynch,President,,REP,Donald J. Trump,186,21,0,207
Boyd,Spencer,President,,REP,Donald J. Trump,319,52,0,371
Boyd,Butte,President,,DEM,Hillary Clinton,23,17,0,40
Boyd,Lynch,President,,DEM,Hillary Clinton,24,9,0,33
Boyd,Spencer,President,,DEM,Hillary Clinton,39,16,0,55
Boyd,Butte,President,,LIB,Gary Johnson,5,6,0,11
Boyd,Lynch,President,,LIB,Gary Johnson,1,3,0,4
Boyd,Spencer,President,,LIB,Gary Johnson,7,1,0,8
Boyd,Butte,President,,,Jill Stein,2,4,0,6
Boyd,Lynch,President,,,Jill Stein,3,0,0,3
Boyd,Spencer,President,,,Jill Stein,4,0,0,4
Boyd,Butte,President,,,Write-ins,5,0,0,5
Boyd,Lynch,President,,,Write-ins,2,0,0,2
Boyd,Spencer,President,,,Write-ins,1,1,0,2
Boyd,Butte,U.S. House,3,REP,Adrian Smith,243,123,0,366
Boyd,Lynch,U.S. House,3,REP,Adrian Smith,187,25,0,212
Boyd,Spencer,U.S. House,3,REP,Adrian Smith,314,56,0,370
Boyd,Butte,U.S. House,3,,Write-ins,1,0,0,1
Boyd,Lynch,U.S. House,3,,Write-ins,1,1,0,2
Boyd,Spencer,U.S. House,3,,Write-ins,0,1,0,1
