"","county","precinct","district","office","party","candidate","votes"
"1","Sarpy","",NA,"President","REP","Donald J. Trump",45143
"2","Sarpy","Precinct 1",NA,"President","REP","Donald J. Trump",443
"3","Sarpy","Precinct 2",NA,"President","REP","Donald J. Trump",551
"4","Sarpy","Precinct 3",NA,"President","REP","Donald J. Trump",776
"5","Sarpy","Precinct 4",NA,"President","REP","Donald J. Trump",720
"6","Sarpy","Precinct 5",NA,"President","REP","Donald J. Trump",586
"7","Sarpy","Precinct 6",NA,"President","REP","Donald J. Trump",658
"8","Sarpy","Precinct 7",NA,"President","REP","Donald J. Trump",657
"9","Sarpy","Precinct 8",NA,"President","REP","Donald J. Trump",684
"10","Sarpy","Precinct 9",NA,"President","REP","Donald J. Trump",660
"11","Sarpy","Precinct 10",NA,"President","REP","Donald J. Trump",455
"12","Sarpy","Precinct 11",NA,"President","REP","Donald J. Trump",1000
"13","Sarpy","Precinct 12",NA,"President","REP","Donald J. Trump",947
"14","Sarpy","Precinct 13",NA,"President","REP","Donald J. Trump",921
"15","Sarpy","Precinct 16",NA,"President","REP","Donald J. Trump",765
"16","Sarpy","Precinct 17",NA,"President","REP","Donald J. Trump",768
"17","Sarpy","Precinct 18",NA,"President","REP","Donald J. Trump",544
"18","Sarpy","Precinct 19",NA,"President","REP","Donald J. Trump",1235
"19","Sarpy","Precinct 20",NA,"President","REP","Donald J. Trump",794
"20","Sarpy","Precinct 21",NA,"President","REP","Donald J. Trump",1211
"21","Sarpy","Precinct 22",NA,"President","REP","Donald J. Trump",716
"22","Sarpy","Precinct 23",NA,"President","REP","Donald J. Trump",1242
"23","Sarpy","Precinct 24",NA,"President","REP","Donald J. Trump",602
"24","Sarpy","Precinct 25",NA,"President","REP","Donald J. Trump",560
"25","Sarpy","Precinct 26",NA,"President","REP","Donald J. Trump",769
"26","Sarpy","Precinct 31",NA,"President","REP","Donald J. Trump",1397
"27","Sarpy","Precinct 32",NA,"President","REP","Donald J. Trump",631
"28","Sarpy","Precinct 33",NA,"President","REP","Donald J. Trump",682
"29","Sarpy","Precinct 34",NA,"President","REP","Donald J. Trump",806
"30","Sarpy","Precinct 35",NA,"President","REP","Donald J. Trump",774
"31","Sarpy","Precinct 36",NA,"President","REP","Donald J. Trump",912
"32","Sarpy","Precinct 37",NA,"President","REP","Donald J. Trump",1350
"33","Sarpy","Precinct 38",NA,"President","REP","Donald J. Trump",795
"34","Sarpy","Precinct 39",NA,"President","REP","Donald J. Trump",942
"35","Sarpy","Precinct 40",NA,"President","REP","Donald J. Trump",856
"36","Sarpy","Precinct 41",NA,"President","REP","Donald J. Trump",1077
"37","Sarpy","Precinct 42",NA,"President","REP","Donald J. Trump",887
"38","Sarpy","Precinct 46",NA,"President","REP","Donald J. Trump",803
"39","Sarpy","Precinct 47",NA,"President","REP","Donald J. Trump",490
"40","Sarpy","Precinct 48",NA,"President","REP","Donald J. Trump",1139
"41","Sarpy","Precinct 49",NA,"President","REP","Donald J. Trump",972
"42","Sarpy","Precinct 51",NA,"President","REP","Donald J. Trump",1413
"43","Sarpy","Precinct 52",NA,"President","REP","Donald J. Trump",1331
"44","Sarpy","Precinct 53",NA,"President","REP","Donald J. Trump",1001
"45","Sarpy","Precinct 54",NA,"President","REP","Donald J. Trump",971
"46","Sarpy","Precinct 55",NA,"President","REP","Donald J. Trump",1250
"47","Sarpy","Precinct 56",NA,"President","REP","Donald J. Trump",818
"48","Sarpy","Precinct 57",NA,"President","REP","Donald J. Trump",715
"49","Sarpy","Precinct 58",NA,"President","REP","Donald J. Trump",769
"50","Sarpy","Precinct 59",NA,"President","REP","Donald J. Trump",820
"51","Sarpy","Precinct 60",NA,"President","REP","Donald J. Trump",675
"52","Sarpy","Precinct 61",NA,"President","REP","Donald J. Trump",1817
"53","Sarpy","Precinct 62",NA,"President","REP","Donald J. Trump",783
"54","Sarpy","New/Former Resident 1",NA,"President","REP","Donald J. Trump",0
"55","Sarpy","New/Former Resident 2",NA,"President","REP","Donald J. Trump",3
"56","Sarpy","",NA,"President","DEM","Hillary Clinton",28033
"57","Sarpy","Precinct 1",NA,"President","DEM","Hillary Clinton",478
"58","Sarpy","Precinct 2",NA,"President","DEM","Hillary Clinton",337
"59","Sarpy","Precinct 3",NA,"President","DEM","Hillary Clinton",578
"60","Sarpy","Precinct 4",NA,"President","DEM","Hillary Clinton",470
"61","Sarpy","Precinct 5",NA,"President","DEM","Hillary Clinton",408
"62","Sarpy","Precinct 6",NA,"President","DEM","Hillary Clinton",529
"63","Sarpy","Precinct 7",NA,"President","DEM","Hillary Clinton",441
"64","Sarpy","Precinct 8",NA,"President","DEM","Hillary Clinton",411
"65","Sarpy","Precinct 9",NA,"President","DEM","Hillary Clinton",436
"66","Sarpy","Precinct 10",NA,"President","DEM","Hillary Clinton",310
"67","Sarpy","Precinct 11",NA,"President","DEM","Hillary Clinton",601
"68","Sarpy","Precinct 12",NA,"President","DEM","Hillary Clinton",462
"69","Sarpy","Precinct 13",NA,"President","DEM","Hillary Clinton",597
"70","Sarpy","Precinct 16",NA,"President","DEM","Hillary Clinton",609
"71","Sarpy","Precinct 17",NA,"President","DEM","Hillary Clinton",546
"72","Sarpy","Precinct 18",NA,"President","DEM","Hillary Clinton",505
"73","Sarpy","Precinct 19",NA,"President","DEM","Hillary Clinton",748
"74","Sarpy","Precinct 20",NA,"President","DEM","Hillary Clinton",664
"75","Sarpy","Precinct 21",NA,"President","DEM","Hillary Clinton",683
"76","Sarpy","Precinct 22",NA,"President","DEM","Hillary Clinton",536
"77","Sarpy","Precinct 23",NA,"President","DEM","Hillary Clinton",656
"78","Sarpy","Precinct 24",NA,"President","DEM","Hillary Clinton",316
"79","Sarpy","Precinct 25",NA,"President","DEM","Hillary Clinton",386
"80","Sarpy","Precinct 26",NA,"President","DEM","Hillary Clinton",440
"81","Sarpy","Precinct 31",NA,"President","DEM","Hillary Clinton",905
"82","Sarpy","Precinct 32",NA,"President","DEM","Hillary Clinton",453
"83","Sarpy","Precinct 33",NA,"President","DEM","Hillary Clinton",616
