county,precinct,office,district,party,candidate,election_day,early_voting,provisional,votes
Cass,Tipton,Registered Voters,,,,,,,1448
Cass,McKelverly,Registered Voters,,,,,,,306
Cass,Salt Creek,Registered Voters,,,,,,,602
Cass,Stove Creek,Registered Voters,,,,,,,668
Cass,Murdock,Registered Voters,,,,,,,458
Cass,South Bend,Registered Voters,,,,,,,645
Cass,Center,Registered Voters,,,,,,,393
Cass,East Louisville,Registered Voters,,,,,,,568
Cass,West Louisville,Registered Voters,,,,,,,770
Cass,Avoca,Registered Voters,,,,,,,373
Cass,Mount Pleasant,Registered Voters,,,,,,,172
Cass,Eight Mile Grove,Registered Voters,,,,,,,714
Cass,Nehawka,Registered Voters,,,,,,,252
Cass,Liberty,Registered Voters,,,,,,,440
Cass,North Rock Bluff,Registered Voters,,,,,,,752
Cass,South Rock Bluff,Registered Voters,,,,,,,1213
Cass,West Rock Bluff,Registered Voters,,,,,,,503
Cass,North Plattsmouth,Registered Voters,,,,,,,1549
Cass,South Plattsmouth,Registered Voters,,,,,,,925
Cass,Weeping Water Ward 1,Registered Voters,,,,,,,384
Cass,Weeping Water Ward 2,Registered Voters,,,,,,,403
Cass,1st. Ward 1st. Precinct,Registered Voters,,,,,,,548
Cass,1st. Ward 2nd. Precinct,Registered Voters,,,,,,,492
Cass,2nd. Ward 1st. Precinct,Registered Voters,,,,,,,503
Cass,2nd. Ward 2nd. Precinct,Registered Voters,,,,,,,469
Cass,3rd. Ward 1st. Precinct,Registered Voters,,,,,,,509
Cass,3rd. Ward 2nd. Precinct,Registered Voters,,,,,,,479
Cass,4th. Ward 1st. Precinct,Registered Voters,,,,,,,413
Cass,4th. Ward 2nd. Precinct,Registered Voters,,,,,,,539
Cass,Total,Registered Voters,,,,,,,17490
Cass,Tipton,Ballots Cast,,,,,,,1102
Cass,McKelverly,Ballots Cast,,,,,,,240
Cass,Salt Creek,Ballots Cast,,,,,,,463
Cass,Stove Creek,Ballots Cast,,,,,,,501
Cass,Murdock,Ballots Cast,,,,,,,356
Cass,South Bend,Ballots Cast,,,,,,,519
Cass,Center,Ballots Cast,,,,,,,300
Cass,East Louisville,Ballots Cast,,,,,,,441
Cass,West Louisville,Ballots Cast,,,,,,,594
Cass,Avoca,Ballots Cast,,,,,,,258
Cass,Mount Pleasant,Ballots Cast,,,,,,,129
Cass,Eight Mile Grove,Ballots Cast,,,,,,,587
Cass,Nehawka,Ballots Cast,,,,,,,187
Cass,Liberty,Ballots Cast,,,,,,,323
Cass,North Rock Bluff,Ballots Cast,,,,,,,584
Cass,South Rock Bluff,Ballots Cast,,,,,,,937
Cass,West Rock Bluff,Ballots Cast,,,,,,,399
Cass,North Plattsmouth,Ballots Cast,,,,,,,1227
Cass,South Plattsmouth,Ballots Cast,,,,,,,731
Cass,Weeping Water Ward 1,Ballots Cast,,,,,,,296
Cass,Weeping Water Ward 2,Ballots Cast,,,,,,,292
Cass,1st. Ward 1st. Precinct,Ballots Cast,,,,,,,347
Cass,1st. Ward 2nd. Precinct,Ballots Cast,,,,,,,334
Cass,2nd. Ward 1st. Precinct,Ballots Cast,,,,,,,365
