Adrian Smith,"",(REP) ,241 ,98.37
WRITE· IN .,"","",4 ,1.63
Adrian Smith,"",(REP) ,271 ,97.13
WRITE · IN.,"","",B ,2.87
Adrian Smith ,"",(REP) ,272 ,99 .27
WRITE-IN. ,"","",2 ,.73
Adrian Smith ,"",(REP) ,300 ,98.36
WRITE-IN. ,"","",5 ,1.64
Adrian Smith ,"",(REP) ,472 ,98.74
WRITE -IN . ,"","",6 ,1.26
Adrian Smith,"",(REP) ,291 ,98.31
WRITE -IN .,"","",5 ,1.69
Adrian Smith,"",(REP) ,107 ,100.00
WRITE-IN.,"","",0 ,""
Adrian Smith,"",(REP) ,148 ,98.01
WRITE-IN.,"","",3 ,1.99
Adri an Smith ,"",(REP) ,359 ,98.90
WRITE · IN .,"","",4 ,1.10
M h1n1 Smi th,"",~RE FJ ) 1 ,329,IJT. 05
~IR.HE - [N . I ,"","",10 ,2.95
Adri an Smith,"","",132 ,100.00
WRITE· IN .,"","",0 ,""
Adrian Smith,"",(REP) ,582 ,98.64
WRITE-IN.,"","",8 ,1.36
